Ch1 Amplitude,Ch2 Amplitude,Cluster
440.072083,4293.95947,1
447.437469,5079.52344,1
449.822784,5311.43066,1
450.4004,4744.46,1
451.4865,4931.45361,1
451.7405,5072.255,1
454.476166,5097.98,1
455.328033,5114.41943,1
456.419159,4720.449,1
460.354279,5069.82471,1
461.894135,5253.96533,1
462.5274,4926.79053,1
463.943024,4857.958,1
464.2898,5005.146,1
464.429535,4967.69629,1
464.643524,4863.01465,1
467.00235,4873.71338,1
467.160645,5013.78027,1
467.543549,5121.95947,1
470.0674,5125.30225,1
470.699524,4999.19238,1
470.7616,5029.488,1
471.3865,4875.92334,1
472.305664,5207.99072,1
472.439362,5021.314,1
472.8679,4794.82,1
473.812866,4816.70557,1
474.032684,4934.48438,1
474.20694,5394.04443,1
474.732025,4922.12256,1
474.890778,5129.42725,1
474.988525,4967.589,1
475.0695,5093.84473,1
475.171936,4840.679,1
475.760376,5075.878,1
475.975555,5094.00146,1
476.0958,4978.55957,1
476.4981,5053.076,1
476.531677,5107.961,1
476.617279,4974.31152,1
477.022339,5041.69043,1
477.3773,4922.43652,1
477.568329,4819,1
477.726685,5163.29,1
477.869324,5130.429,1
477.9212,4950.35352,1
478.1,5020.20166,1
478.180481,4807.221,1
478.54776,5042.973,1
478.639679,5161.83447,1
479.066467,4944.60156,1
479.192566,5078.65137,1
479.3073,4906.52246,1
479.4242,5189.963,1
479.7517,4954.236,1
479.910461,5048.27,1
479.928558,4877.42,1
480.3113,5054.47949,1
480.499146,5344.52051,1
480.773468,4791.20264,1
480.9397,5337.033,1
481.356842,4649.49,1
481.4791,5062.3374,1
482.072083,4981.825,1
482.146118,5084.939,1
482.2216,5283.30127,1
482.2353,5072.461,1
482.2615,5019.827,1
482.292267,5185.14746,1
482.3273,4975.02,1
482.363,4996.53564,1
482.594177,4868.19238,1
482.656982,5050.78564,1
483.3799,4973.798,1
483.451935,4934.156,1
483.769135,4969.53857,1
483.813416,4995.38965,1
484.2791,5104.884,1
484.295654,4849.59375,1
484.3932,5039.4,1
484.4417,5060.26855,1
484.611053,5073.495,1
485.085846,5140.88525,1
485.094574,4929.932,1
485.136047,5288.759,1
485.249817,5543.84961,1
485.3079,5095.177,1
485.438568,4954.962,1
485.489471,4972.96045,1
485.66568,4943.69775,1
485.8374,4939.14063,1
485.966766,5273.014,1
485.981049,4977.553,1
486.0758,5164.37256,1
486.33493,5204.10645,1
486.34668,5174.158,1
486.360443,5071.191,1
486.419037,4731.727,1
486.436035,5510.78564,1
486.607849,4962.23438,1
486.6858,4908.05225,1
486.739929,5241.80859,1
486.923431,5171.80762,1
486.9495,5124.309,1
487.093536,5264.601,1
487.142548,4957.70557,1
487.1672,5197.41064,1
487.177277,4723.70068,1
487.818329,5138.83,1
487.876038,4898.18164,1
487.938141,4857.922,1
488.399475,5074.51172,1
488.518219,5183.32373,1
488.5753,4788.039,1
488.620667,5135.808,1
488.638824,4915.27734,1
489.0977,5130.37,1
489.127441,4812.954,1
489.1423,4910.15625,1
489.227173,5101.29541,1
489.3454,5280.0415,1
489.387848,5032.68457,1
489.448975,5043.52344,1
489.848,4803.299,1
489.908,5139.41455,1
489.934235,4999.46533,1
489.971832,5032.971,1
490.388123,4897.11328,1
490.517029,4963.288,1
490.532349,5074.261,1
490.598816,4941.65137,1
