Ch1 Amplitude,Ch2 Amplitude,Cluster
163.054718,590.674255,1
184.212387,615.2052,1
208.723755,879.774,1
213.740234,1023.21576,1
216.13678,1044.83887,4
216.382919,902.957947,1
217.1559,994.665955,1
217.619553,837.3951,1
218.140625,958.6491,1
219.405289,1059.11243,4
219.507767,857.7509,1
220.455048,910.129639,1
220.480881,1001.44391,1
221.383911,1007.83997,1
221.877686,967.3013,1
221.914841,809.1494,1
222.131073,908.6978,1
222.382126,982.1559,1
222.616486,1003.72089,1
223.252548,922.992065,1
223.914124,1020.83997,1
224.073242,856.8175,1
224.116653,871.4735,1
224.1697,853.5117,1
224.2442,820.078064,1
224.250885,799.2411,1
224.455734,861.362732,1
224.517639,927.6722,1
224.668259,905.3577,1
225.148239,954.7783,1
225.649933,944.8918,1
226.826981,882.347534,1
227.1198,963.9509,1
227.228409,887.2251,1
227.2904,1036.04419,4
227.3841,985.7181,1
227.4485,852.4976,1
227.727478,934.608765,1
227.860611,827.445557,1
228.103256,921.471252,1
228.306976,889.850037,1
228.58609,883.232239,1
228.83667,909.6396,1
229.300766,860.572449,1
229.426331,917.672,1
229.443085,925.564,1
229.632431,946.506836,1
229.746,898.2057,1
230.000244,904.0625,1
230.010284,940.345764,1
230.065262,977.6334,1
230.0817,942.4089,1
230.25322,897.4933,1
230.2914,862.5306,1
230.40564,848.827148,1
230.509445,939.949646,1
230.544052,842.9013,1
230.900452,843.163147,1
231.30043,948.9188,1
231.380859,899.714233,1
231.502426,914.7388,1
231.779617,1004.27411,1
231.8306,870.71405,1
232.402039,913.473633,1
232.4502,888.902039,1
232.488144,941.0045,1
232.574265,897.669556,1
232.615112,932.40564,1
232.802979,1008.74695,1
232.9448,906.1996,1
232.965988,910.775452,1
233.071014,943.8956,1
233.163162,946.972351,1
233.233887,868.249451,1
233.496826,907.4596,1
233.519073,901.136169,1
233.561874,898.7069,1
233.727509,918.7295,1
233.826431,871.6131,1
233.937759,915.4248,1
233.994843,902.226,1
234.1234,922.6276,1
234.195068,941.113159,1
234.21524,925.103455,1
234.227188,885.3753,1
234.28183,823.4646,1
234.628876,938.2314,1
234.6544,869.25885,1
234.700989,901.115967,1
234.931183,879.766663,1
234.967392,1006.19751,1
235.11824,881.692932,1
235.305145,949.4474,1
235.436157,951.754,1
235.47435,962.094666,1
235.551056,906.756531,1
235.551773,985.6753,1
235.554138,987.4538,1
235.616028,857.0023,1
235.744125,919.2621,1
235.939392,933.3375,1
236.162018,957.3483,1
236.166443,879.5023,1
236.320267,780.4416,1
236.351486,917.717834,1
236.526184,979.181458,1
236.573151,910.0429,1
236.647842,902.667847,1
236.696014,890.977234,1
236.715378,869.4802,1
237.41806,883.1333,1
237.450012,865.628845,1
237.4552,873.623169,1
237.456589,855.3377,1
237.462555,932.673645,1
237.479034,906.466248,1
237.531982,872.6766,1
237.609146,932.478149,1
237.618912,868.2021,1
237.674728,886.5326,1
237.689529,784.5659,1
237.835663,912.9442,1
237.9587,950.722168,1
237.989456,849.695,1
238.178482,818.3515,1
238.344467,963.9102,1
238.411484,851.021057,1
238.449554,799.790466,1
238.512039,921.2997,1
238.809052,868.0237,1
238.855453,821.5501,1
238.881363,889.99176,1
239.058517,887.0388,1
239.106949,970.382751,1
239.124725,866.0967,1
239.1438,895.3048,1
239.17514,835.2031,1
239.335373,890.984436,1
239.349365,972.392639,1
239.44725,890.855,1
239.490265,883.4372,1
239.620651,884.613647,1
239.6754,819.4548,1
239.687363,953.0939,1
239.844971,908.7781,1
239.898148,917.1072,1
239.9889,891.481262,1
240.046158,901.31665,1
240.050186,871.654968,1
240.1151,830.538757,1
240.154587,976.4993,1
240.341019,900.5134,1
240.377792,849.655,1
240.42543,954.7323,1
240.64386,873.364868,1
240.652756,870.8454,1
240.681778,916.828064,1
240.743652,899.981445,1
240.782639,842.1606,1
240.796646,815.6223,1
240.982071,905.6767,1
240.992523,834.617,1
241.0572,884.497131,1
241.142944,845.337158,1
241.2127,921.3984,1
241.226517,906.827759,1
241.254318,861.4751,1
241.260925,877.5801,1
241.265884,874.047,1
241.367752,838.431641,1
241.402069,901.6951,1
241.469421,836.9717,1
241.505127,991.961,1
241.62236,918.2854,1
241.659348,823.5242,1
241.668091,833.410645,1
241.692963,879.467651,1
241.713074,889.070862,1
241.717865,925.0204,1
241.82457,844.5544,1
241.839569,933.802,1
241.8472,857.4609,1
241.872528,945.756531,1
241.910446,905.5265,1
241.911865,878.142,1
241.937515,858.114441,1
242.023026,863.2417,1
242.029755,945.9838,1
242.043365,891.127136,1
242.08667,865.721252,1
242.11351,887.0566,1
242.18132,919.2436,1
242.299774,890.689148,1
242.3062,875.2502,1
242.379028,788.214661,1
242.395844,973.493042,1
242.435852,928.475,1
242.451935,839.931152,1
242.465149,950.5288,1
242.465652,854.9095,1
242.47702,894.1337,1
242.527008,873.9894,1
242.57077,910.193,1
242.6514,890.62085,1
242.778351,850.2398,1
242.7978,830.9199,1
242.804626,828.1148,1
242.832077,910.556335,1
242.910629,817.562256,1
242.911118,838.6787,1
242.967987,841.3918,1
243.056,914.598633,1
243.074875,875.2457,1
243.090424,842.2409,1
243.1076,918.514038,1
243.1158,928.0595,1
243.158081,944.8528,1
243.200165,869.9075,1
243.237274,925.975159,1
243.2548,946.173157,1
243.2751,860.522644,1
243.308243,916.430664,1
243.397079,876.8559,1
243.414551,876.2524,1
243.4186,921.404663,1
243.574844,987.287231,1
243.6878,866.9552,1
243.711487,997.583435,1
243.716766,843.925537,1
243.7883,913.8951,1
243.825562,811.13385,1
243.855865,841.5766,1
