Ch1 Amplitude,Ch2 Amplitude,Cluster
447.7825,4604.533,1
469.174133,5432.1,1
470.3221,5145.00146,1
471.0572,5433.646,1
472.1549,5170.281,1
472.9459,5356.072,1
473.018677,4943.92529,1
473.851166,4968.76172,1
475.90976,5073.46338,1
476.105835,5185.715,1
476.300385,5186.01465,1
476.490723,5086.60645,1
477.508667,5341.2583,1
477.5992,5008.71338,1
478.356873,5395.00244,1
479.465363,5512.03125,1
479.925964,5128.33,1
479.9362,5032.79639,1
480.036163,5067.60938,1
480.482269,5092.43457,1
480.959076,4704.571,1
481.154938,5066.282,1
482.6573,4759.0127,1
483.200226,4908.23975,1
483.254669,4991.671,1
483.50882,4759.89258,1
483.5746,5242.445,1
485.443268,5087.56836,1
485.648163,4963.212,1
485.84845,4996.5,1
486.257965,4963.16357,1
486.276978,5134.81641,1
487.104828,5064.715,1
488.388123,5052.155,1
488.9362,4999.681,1
489.3466,5048.367,1
489.521942,5093.80957,1
489.5886,5270.504,1
489.70224,4900.80225,1
489.754333,5008.485,1
490.08252,4971.709,1
490.266174,5072.90137,1
490.679871,4967.05371,1
490.86908,5054.35938,1
491.352142,5112.43555,1
492.2507,5336.68457,1
493.4881,4976.343,1
493.525818,4925.5,1
493.599976,5019.71973,1
494.010437,5307.586,1
494.247345,5311.07031,1
494.294525,5058.57471,1
494.509827,5117.643,1
494.5441,5091.477,1
494.814636,5082.928,1
494.8164,5173.49,1
495.089233,4852.86328,1
495.408936,5278.794,1
495.8727,4866.94238,1
496.11908,5466.18,1
496.2612,5007.27246,1
496.574371,5045.17969,1
496.7785,5449.47754,1
496.9145,5098.34473,1
496.917267,4895.73828,1
496.944336,4826.15,1
497.0525,4938.477,1
497.325043,5046.56738,1
497.395325,5003.928,1
498.2606,5189.77148,1
498.278046,4740.496,1
498.579773,5261.046,1
498.861481,5283.541,1
498.893524,5206.32568,1
498.972229,4994.40771,1
499.507568,4845.745,1
499.524048,5364.744,1
499.802917,5111.148,1
499.830475,5226.017,1
499.903,5197.77,1
499.909,5348.188,1
499.965485,5079.65039,1
499.967682,5061.611,1
499.981567,5049.499,1
500.054535,4983.761,1
500.2922,5268.15137,1
500.35556,5276.342,1
500.4087,5215.03467,1
500.461761,5140.335,1
500.5291,5237.40039,1
500.716644,4956.319,1
500.7451,4941.281,1
500.9631,4866.53467,1
501.028381,5142.136,1
501.081635,4962.17773,1
501.592377,5186.52148,1
501.763977,5073.921,1
501.821625,5018.91943,1
501.963562,5030.696,1
501.992859,5094.537,1
502.523529,5037.217,1
502.568054,4869.079,1
502.649445,4990.378,1
502.681427,5234.067,1
502.938446,5037.88867,1
503.2104,5410.71338,1
503.4271,4942.80566,1
503.4653,5302.313,1
503.601532,5358.80273,1
503.676147,5075.70068,1
503.694366,4934.13867,1
503.782227,5207.66455,1
503.833435,5327.526,1
503.909058,4977.083,1
504.0037,4943.725,1
504.061371,5054.298,1
504.194458,4904.915,1
504.5885,5323.5376,1
504.675262,5149.667,1
504.730164,5011.07861,1
504.782837,5124.06543,1
504.783539,4895.874,1
504.830322,5364.95264,1
504.8765,5059.255,1
505.0224,4838.85938,1
505.1129,5235.645,1
505.1676,5273.17871,1
505.1979,5265.57471,1
505.1988,5078.278,1
505.276337,5483.80859,1
505.299225,5023.595,1
505.307648,4983.45752,1
505.415,5028.37451,1
505.4572,4771.68066,1
505.639648,5085.41455,1
505.771484,5264.716,1
505.828857,5091.71875,1
505.840576,5062.75342,1
505.8466,5131.256,1
506.434631,5416.1543,1
506.437683,5126.301,1
506.537048,5241.5625,1
506.644653,5184.54346,1
506.763062,5063.417,1
506.801758,5221.379,1
506.8969,4767.028,1
506.90036,4323.48242,1
507.021973,4991.46436,1
507.102325,5076.045,1
507.141724,5116.07031,1
507.155548,4880.283,1
507.222565,4972.695,1
507.354858,4988.521,1
507.485382,4991.34766,1
507.519165,5288.127,1
507.596466,5062.05127,1
507.596619,5247.048,1
507.642975,4932.957,1
507.970367,4990.72461,1
508.069427,5172.24463,1
508.32666,5186.309,1
508.410217,4996.197,1
508.42215,5049.101,1
508.427124,5194.89746,1
508.642731,5492.36768,1
508.831238,4935.60742,1
509.059448,5009.20654,1
509.108643,5143.18,1
509.262543,5231.43359,1
509.3549,5373.78564,1
509.454559,5112.865,1
509.4703,5023.801,1
509.477783,5738.81055,1
509.6102,5045.92871,1
509.89212,5061.25342,1
509.9499,5099.668,1
510.0844,5075.64648,1
510.120026,5595.1,1
510.1595,4945.705,1
510.1615,5035.88672,1
510.191467,5011.28027,1
510.329773,5043.17236,1
510.334167,4878.87,1
510.335968,5050.26758,1
510.3879,5438.92334,1
510.403625,5333.86963,1
510.462982,5034.183,1
510.647034,5370.64258,1
510.703247,5029.965,1
510.717438,5284.287,1
511.004974,5212.92334,1
511.0118,4937.81738,1
511.123444,5437.756,1
511.2229,5286.636,1
511.312225,5060.904,1
511.346,5201.799,1
511.435547,5037.276,1
511.4476,5275.962,1
511.459869,5237.0083,1
511.4676,4918.4707,1
511.531036,5017.823,1
511.532928,4893.851,1
511.5515,5010.617,1
511.676758,4905.03369,1
511.764526,4984.147,1
511.767853,4901.13672,1
511.8437,4853.38037,1
511.851837,5147.865,1
