Ch1 Amplitude,Ch2 Amplitude,Cluster
-622.633545,10394.291,1
-608.7171,10583.6328,1
-605.222351,11037.7764,1
-604.0451,10640.5313,1
-596.853,10123.3486,1
-594.4674,10029.0869,1
-593.7425,10149.9346,1
-589.068665,10054.459,1
-588.892761,10486.2139,1
-585.4809,10380.6475,1
-575.1074,10510.73,1
-575.0237,10587.56,1
-574.9015,10621.7129,1
-574.8575,10655.2549,1
-573.347961,10076.5381,1
-572.955566,10029.7646,1
-571.344666,10344.4727,1
-571.302368,10069.0713,1
-569.9411,10198.5293,1
-567.732849,10382.1865,1
-567.278748,10346.4746,1
-566.8143,10158.8311,1
-566.659851,10386.6172,1
-563.0124,9676.539,1
-560.37384,10298.1768,1
-560.2305,10436.5781,1
-557.1395,10045.2568,1
-556.755066,10379.8584,1
-555.948547,9914.8125,1
-555.6331,10065.6445,1
-554.420349,10177.0469,1
-553.90625,10528.6963,1
-552.1093,10433.8291,1
-551.5303,9968.462,1
-549.710144,10137.665,1
-549.6471,10104.1621,1
-549.347839,9999.209,1
-549.008362,9966.894,1
-548.8148,10223.5391,1
-547.898,10461.6758,1
-546.174744,10322.7813,1
-545.2208,9732.912,1
-544.5619,10203.2646,1
-544.456543,10379.5371,1
-544.3652,10064.8945,1
-544.0775,10145.2383,1
-543.114746,10390.31,1
-543.0712,10155.2988,1
-541.7453,10096.6582,1
-541.6697,10579.8359,1
-541.0014,9761.219,1
-540.4168,9800.592,1
-540.394165,9922.165,1
-540.1048,9900.624,1
-539.6342,9900.436,1
-539.3454,10020.7979,1
-536.9733,9992.753,1
-536.707764,9673.205,1
-535.805054,9825.395,1
-535.7795,10215.7754,1
-535.288635,10095.9424,1
-534.980957,9994.22,1
-534.8415,10502.0322,1
-534.7743,10074.4873,1
-533.4551,10133.8613,1
-533.3335,9944.132,1
-532.637939,10145.9189,1
-532.3652,10111.0293,1
-532.1951,10026.1074,1
-532.0353,10230.0742,1
-531.926636,10189.5693,1
-531.858765,10292.916,1
-531.848938,9770.362,1
-531.5737,10318.6289,1
-531.5101,10335.5508,1
-530.5524,10186.8828,1
-530.2786,10187.1,1
-530.169,10310.3564,1
-530.0563,10152.0078,1
-529.9456,10121.69,1
-529.8405,10095.2236,1
-529.761841,10152.74,1
-529.4375,10211.8027,1
-529.127258,10051.11,1
-529.0953,10344.3311,1
-528.829956,10066.5742,1
-528.7288,10446.1016,1
-528.668335,10333.8145,1
-528.363,9890.787,1
-528.187561,9992.516,1
-527.7063,10357.1025,1
-527.467041,10639.94,1
-526.7322,10215.4014,1
-526.6275,9734.295,1
-526.4092,10193.7295,1
-526.3893,9776.348,1
-526.2774,10198.2109,1
-526.1023,10270.1133,1
-525.610535,9984.717,1
-525.2601,10563.7715,1
-525.180664,9808.056,1
-524.854553,10065.417,1
-524.7346,10143.3262,1
-524.6545,10307.6914,1
-523.6924,10090.5615,1
-523.545654,10363.7,1
-522.934143,10093.5771,1
-522.638,10204.9307,1
-522.5251,10325.3311,1
-522.507935,9971.888,1
-522.391235,10159.8584,1
-522.2584,9863.546,1
-521.361755,9994.236,1
-520.9633,10189.35,1
-520.9312,9675.134,1
-520.920532,10015.8076,1
-520.8423,9397.987,1
-520.766235,9788.177,1
-519.819,9559.149,1
-519.701538,9775.577,1
-519.482239,9736.239,1
-519.2094,10187.4854,1
-519.077454,10295.9941,1
-518.9902,9843.512,1
-518.809631,10041.0771,1
-518.726257,9995.15,1
-518.546631,9857.686,1
-517.8417,10375.0283,1
-517.744263,9780.865,1
-517.681152,10038.39,1
-517.552063,9885.097,1
-517.260132,10128.1719,1
-517.2044,9765.851,1
-517.14386,9553.131,1
-516.9757,10072.5459,1
-516.942261,9935.061,1
-516.640259,10056.9512,1
-516.5975,9910.444,1
-516.553467,9917.353,1
-516.4049,10093.45,1
-516.257141,10007.01,1
-516.146545,10150.2432,1
-516.098938,10061.4824,1
-515.814148,9837.42,1
-515.2376,10036.84,1
-515.0696,10136.6357,1
-515.0104,9955.344,1
-514.9952,9996.031,1
-514.9373,9453.46,1
-514.8724,10190.3828,1
-514.8478,10000.3975,1
-514.785767,10017.918,1
-514.50824,10036.2012,1
-514.184631,9994.73,1
-514.168,10360.4648,1
-513.874939,10186.0762,1
-513.837463,9894.932,1
-513.7076,9804.698,1
-513.5529,9485.634,1
-513.341,10065.873,1
-512.7605,10199.5205,1
-512.6938,9899.387,1
-512.5597,9924.777,1
-512.5486,10173.3984,1
-512.417969,10090.9941,1
-512.3969,9739.778,1
-512.0371,9731.257,1
-511.857574,9705.741,1
-511.607025,10419.42,1
-511.538483,9834.99,1
-511.489075,10192.0078,1
-511.4629,9837.758,1
-511.430939,9996.361,1
-511.120972,10149.2,1
-510.9679,10059.5244,1
-510.732574,9868.063,1
-510.697327,10135.7188,1
-510.5463,9673.534,1
-510.4235,10173.91,1
-510.301971,9625.803,1
-510.1903,9722.296,1
-510.134766,9516.566,1
-510.038,9615.794,1
-510.035248,9496.83,1
-509.8872,9786.017,1
-509.5857,10052.8184,1
-509.545654,10033.3467,1
-509.4787,9904.132,1
-509.441376,10015.6133,1
-509.152069,10014.86,1
-509.0704,9787.223,1
-509.0645,10279.5313,1
-508.8016,9909.6875,1
-508.58963,9896.434,1
-508.587738,9519.458,1
-508.535339,9671.592,1
-508.1723,10120.2637,1
-508.109924,9850.76,1
-507.996216,10234.3516,1
-507.920044,10241.9453,1
-507.918945,9611.929,1
-507.8555,9824.796,1
-507.668365,9421.119,1
-507.667572,9508.796,1
-507.626465,9982.291,1
-507.592957,10022.1943,1
-507.342346,10163.0742,1
-507.34024,9616.774,1
-507.2801,9792.298,1
-507.1254,10008.8838,1
-507.121063,10075.625,1
-506.8517,10140.5605,1
-506.6891,10168.5156,1
-506.599762,10447.1133,1
-506.5696,9928.954,1
-506.429535,9977.076,1
-506.279419,9693.546,1
-506.0694,9810.181,1
-506.046021,9997.353,1
-505.993958,9856.782,1
-505.980255,10017.4268,1
-505.9789,9613.802,1
-505.9045,11414.8145,1
-505.8428,10181.3184,1
-505.802948,9893.425,1
-505.642151,9701.367,1
-505.424927,9403.443,1
-505.417175,10174.9795,1
-505.268921,9777.58,1
-505.25238,10023.1094,1
-505.237061,9909.744,1
