Ch1 Amplitude,Ch2 Amplitude,Cluster
-477.9776,4625.128,4
-461.511749,4576.123,4
-460.456543,4543.574,4
-457.7066,4688.45166,4
-457.560669,4613.6084,4
-457.2246,4432.441,4
-456.408539,4641.57568,4
-453.132141,4549.445,4
-452.3869,4683.82373,4
-451.361145,4545.882,4
-450.614868,4742.372,4
-449.615845,4762.44531,4
-448.954834,4680.5957,4
-447.16925,4709.10352,4
-446.671539,4623.0415,4
-445.9089,4657.16846,4
-444.818024,4577.138,4
-444.505981,4552.18848,4
-441.502319,4703.04541,4
-439.978638,4571.706,4
-438.910431,4774.50244,4
-438.57074,4617.255,4
-437.809143,4592.00439,4
-437.695679,4896.48,4
-437.456116,4385.023,4
-437.243347,4410.88232,4
-436.889465,4775.64746,4
-436.515533,4594.31,4
-436.341553,4387.945,4
-436.0212,4741.141,4
-435.985443,4365.81152,4
-435.887482,4517.91357,4
-435.740967,4503.19531,4
-435.524353,4772.54,4
-434.99173,4676.014,4
-434.9247,4310.72266,4
-434.801056,4642.312,4
-434.462616,4580.513,4
-434.434479,4445.22754,4
-434.2298,4574.46875,4
-434.116272,4546.155,4
-433.965363,4575.97949,4
-433.7092,4598.152,4
-433.333374,4706.502,4
-432.5196,4657.741,4
-431.6237,4739.371,4
-431.509,4515.39063,4
-430.9781,4468.91553,4
-430.6197,4669.722,4
-429.897064,4651.89355,4
-429.839081,4483.081,4
-429.09,4619.33936,4
-429.013763,4466.384,4
-428.964417,4816.317,4
-428.152466,4662.59668,4
-428.042725,4354.743,4
-427.6991,4693.449,4
-427.6461,4494.96973,4
-427.179626,4462.19336,4
-426.8765,4592.48975,4
-426.840332,4559.622,4
-426.818268,4589.13672,4
-426.59024,4800.07666,4
-426.489319,4469.604,4
-426.308228,4537.727,4
-426.3053,4440.713,4
-425.9977,4541.52734,4
-425.973816,4564.891,4
-425.959076,4595.873,4
-425.9392,4466.457,4
-425.8366,4387.15967,4
-425.611633,4564,4
-425.3234,4475.27637,4
-425.285156,4550.069,4
-425.1986,4589.177,4
-424.785431,4478.32568,4
-424.754059,4725.902,4
-424.7308,4445.822,4
-424.5536,4478.179,4
-424.5411,4533.8,4
-424.5112,4636.284,4
-424.4546,4391.63037,4
-424.343872,4686.048,4
-424.213776,4445.013,4
-424.160645,4733.93848,4
-424.1088,4213.622,4
-423.891754,4509.76563,4
-423.798,4465.83936,4
-423.676483,4558.829,4
-423.6313,4338.955,4
-423.565247,4584.844,4
-423.512115,4677.998,4
-423.405273,4486.166,4
-423.3335,4471.742,4
-423.184875,4552.978,4
-423.038727,4417.97656,4
-423.001251,4394.89,4
-422.923859,4416.02539,4
-422.8953,4808.09033,4
-422.848663,4420.72852,4
-422.759064,4477.966,4
-422.606964,4602.416,4
-422.5001,4548.06836,4
-422.447723,4599.75342,4
-422.104553,4358.21826,4
-422.043945,4451.62842,4
-421.9759,4381.95068,4
-421.897522,4733.062,4
-421.63913,4723.66455,4
-421.630676,4663.69971,4
-421.190735,4516.135,4
-421.0505,4439.80762,4
-421.026642,4296.06836,4
-421.024261,4697.03271,4
-420.933472,4525.365,4
-420.626282,4445.02832,4
-420.5449,4450.359,4
-420.490051,4558.62646,4
-420.344727,4351.23633,4
-420.2643,4419.951,4
-420.199249,4594.228,4
-420.135162,4510.295,4
-420.1131,4348.14063,4
-419.8991,4654.864,4
-419.461,4603.682,4
-419.310242,4554.88,4
-419.278442,4449.6875,4
-419.0918,4359.173,4
-419.060272,4577.54736,4
-419.0472,4486.062,4
-418.9601,4492.03662,4
-418.905426,4751.58447,4
-418.871368,4408.593,4
-418.866241,4393.07861,4
-418.777771,4404.821,4
-418.4883,4465.91162,4
-418.449249,4420.32,4
-418.443237,4514.68164,4
-418.378143,4422.1626,4
-418.3353,4545.19141,4
-418.316681,4443.887,4
-418.070129,4598.27,4
-418.025055,4515.79248,4
-417.6415,4599.806,4
-417.557037,4471.154,4
-417.393768,4636.93945,4
-417.310181,4412.83,4
-417.240356,4400.08838,4
-417.220154,4417.34863,4
-417.005157,4420.17236,4
-416.3339,4544.90234,4
-416.284943,4354.42725,4
-416.236938,4578.506,4
-416.1346,4487.48242,4
-415.6484,4465.712,4
-415.634216,4344.927,4
-415.36734,4395.572,4
-415.35672,4629.991,4
-415.311279,4490.13574,4
-415.303375,4321.22754,4
-415.23587,4553.09033,4
-415.152557,4475.30225,4
-415.128754,4392.07764,4
-415.084381,4684.316,4
-415.037872,4323.256,4
-414.8396,4743.01855,4
-414.784821,4493.45166,4
-414.763977,4414.77734,4
-414.567657,4384.905,4
-414.319244,4465.63867,4
-414.104248,4419.79,4
-414.056183,4467.409,4
-413.995178,4456.21875,4
-413.86795,4346.214,4
-413.63205,4472.792,4
-413.579285,4490.41357,4
-413.577728,4651.2417,4
-413.36795,4619.847,4
-413.3638,4437.72,4
-413.261322,4596.539,4
-413.245972,4412.139,4
-413.231964,4471.836,4
-412.991882,4613.23535,4
-412.90448,4472.7207,4
-412.834442,4472.715,4
-412.821167,4598.40967,4
-412.7973,4370.845,4
-412.7302,4524.334,4
-412.661438,4419.082,4
-412.519135,4479.999,4
-412.5001,4582.95459,4
-412.4781,4482.80469,4
-412.4458,4306.602,4
-412.213654,4467.49072,4
-412.1811,4578.258,4
-412.109863,4491.46045,4
-412.041656,4396.174,4
-412.033569,4515.298,4
-411.9357,4401.992,4
-411.9285,4445.60156,4
-411.7663,4413.51465,4
-411.732849,4269.71631,4
-411.4084,4259.95264,4
-411.371552,4475.78467,4
-411.357269,4491.1665,4
-411.260742,4399.965,4
-411.067932,4529.682,4
-410.963226,4525.799,4
-410.951965,4537.208,4
-410.805969,4395.295,4
-410.7705,4404.185,4
-410.539764,4454.96875,4
-410.529541,4639.419,4
-410.526978,4439.229,4
-410.414856,4416.739,4
-410.312164,4530.75439,4
-410.282959,4509.49268,4
-410.2442,4515.24365,4
-410.135284,4311.3374,4
-410.005,4278.008,4
-409.815979,4405.42041,4
-409.7793,4532.96045,4
-409.660919,4222.53125,4
-409.6283,4531.767,4
-409.554,4289.938,4
-409.500824,4386.753,4
-409.481964,4525.17432,4
-409.365173,4379.09668,4
-409.296844,4565.52344,4
-409.0737,4496.94043,4
-409.0733,4501.412,4
-408.976929,4461.683,4
-408.9398,4547.324,4
-408.89856,4369.62158,4
-408.743561,4481.59,4
-408.602875,4554.76367,4
-408.596954,4639.48926,4
-408.4726,4613.1416,4
-408.4387,4382.572,4
-408.398346,4443.57471,4
-408.2909,4667.41064,4
-408.2615,4504.46973,4
-408.121,4343.677,4
-407.966461,4523.77539,4
-407.883759,4432.16748,4
-407.766266,4214.21,4
-407.543854,4520.288,4
