Ch1 Amplitude,Ch2 Amplitude,Cluster
-815.0959,8655.945,4
-776.494568,8719.94,4
-767.535767,8525.492,4
-766.690735,8783.614,4
-764.8093,8525.762,4
-764.620361,8606.188,4
-762.988831,8617.732,4
-759.709045,8650.804,4
-757.8032,8458.443,4
-751.9442,8334.527,4
-749.550537,8586.679,4
-748.5939,8604.295,4
-747.677,8263.384,4
-747.0403,8617.58,4
-746.7567,8086.67236,4
-746.7151,8161.05469,4
-745.957764,8485.797,4
-745.5306,8261.669,4
-744.629333,8594.705,4
-744.1039,8387.012,4
-744.045654,8748.468,4
-742.4888,8090.78271,4
-742.0858,8277.41,4
-742.0042,8341.82,4
-739.650146,8394.235,4
-738.882263,8539.043,4
-738.108765,8269.183,4
-737.1927,8144.29639,4
-736.6327,7931.39063,4
-736.5458,8384.509,4
-736.2017,8283.283,4
-734.0964,8237.537,4
-733.925659,8505.301,4
-732.292542,8266.144,4
-732.095154,8227.521,4
-732.0517,8029.986,4
-731.6192,7942.66064,4
-731.4491,8543.965,4
-730.714661,8082.39453,4
-730.5357,8429.324,4
-730.1619,7963.439,4
-730.061768,8244.719,4
-729.859558,7989.46826,4
-729.4205,8823.358,4
-727.8338,8395.862,4
-727.558655,8767.347,4
-727.543945,8213.186,4
-727.504333,8127.526,4
-727.3313,8191.62354,4
-726.412231,8320.137,4
-726.239563,8137.37354,4
-725.8468,7945.959,4
-725.6179,8275.475,4
-725.082764,8036.593,4
-724.5643,8434.748,4
-724.2906,8222.912,4
-723.3042,8013.152,4
-723.2326,8227.313,4
-722.1468,8128.329,4
-721.7577,8583.084,4
-721.4632,7774.131,4
-721.436768,8331.21,4
-720.7075,7671.61865,4
-720.6863,8212.125,4
-719.9601,8303.573,4
-719.9495,8018.46338,4
-719.477844,8059.78125,4
-719.3879,7773.301,4
-719.008667,7966.025,4
-718.931335,8444.996,4
-718.7796,8380.517,4
-717.671143,8311.654,4
-717.2802,8606.739,4
-716.949158,8264.731,4
-716.8066,7926.68848,4
-716.798035,8354.167,4
-716.4545,8082.419,4
-714.7711,8338.021,4
-714.2843,8290.748,4
-714.15686,8137.336,4
-713.812,8173.95752,4
-713.7954,8426.013,4
-713.5462,8210.425,4
-713.2501,8399.921,4
-712.6766,8109.908,4
-712.3684,7984.162,4
-712.2894,8263.299,4
-711.9212,8105.964,4
-711.7834,8143.40967,4
-711.5907,8201.77051,4
-711.581665,8371.722,4
-711.4832,7866.87256,4
-711.28656,8303.002,4
-711.2296,7914.5625,4
-710.4468,8052.143,4
-709.972656,8163.824,4
-709.1732,8498.373,4
-709.1254,7702.58643,4
-708.6758,7749.39258,4
-708.458435,8019.9917,4
-708.3503,8072.738,4
-708.114868,7793.73438,4
-708.08,8354.961,4
-707.773132,8389.949,4
-707.69635,7951.921,4
-707.524536,8381.948,4
-706.895752,8078.989,4
-706.7998,8329.96,4
-706.6661,8023.1626,4
-706.2369,7777.94434,4
-705.952,8263.449,4
-705.612854,8287.302,4
-705.207153,8320.136,4
-705.0804,8278.931,4
-704.9757,8077.07568,4
-704.677246,7919.408,4
-704.5621,8167.02344,4
-704.036743,8313.589,4
-703.8183,8362.045,4
-703.695,7859.08643,4
-703.6719,8305.755,4
-703.562561,8043.92041,4
-703.514832,8362.763,4
-703.235657,8087.078,4
-703.1965,7669.44238,4
-702.4582,7742.15674,4
-702.3292,7800.30664,4
-702.1863,7944.30371,4
-702.1234,7740.99658,4
-701.89,8253.089,4
-701.777832,7854.22168,4
-701.4073,7855.90234,4
-701.3351,8218.464,4
-700.838867,8086.801,4
-700.445251,8090.048,4
-700.2585,8121.87256,4
-700.111267,8007.37158,4
-699.9666,8246.387,4
-699.8426,8019.59326,4
-699.667,7989.77344,4
-699.414246,8077.12158,4
-699.054138,8264.857,4
-699.041443,8162.967,4
-698.099365,7977.45459,4
-697.8107,7927.20166,4
-697.60144,8002.334,4
-697.5828,8030.966,4
-697.20874,8512.168,4
-697.18634,7849.70654,4
-697.00885,8234.702,4
-696.6666,8384.733,4
-696.6602,8077.91455,4
-696.6458,7780.17,4
-696.47876,8201.342,4
-696.4458,8068.124,4
-696.3464,7966.2,4
-695.8309,7799.878,4
-695.4337,8119.51563,4
-695.269836,8080.3623,4
-695.2239,7843.084,4
-695.201,8155.09766,4
-695.004761,7942.96729,4
-694.6615,8166.13867,4
-694.258057,8094.436,4
-694.109436,7916.41162,4
-693.8409,7740.662,4
-693.504761,7972.567,4
-693.4256,8315.027,4
-693.303833,8191.3623,4
-692.9171,8181.514,4
-692.6479,8264.67,4
-692.551147,7947.08838,4
-692.3966,8238.18,4
-692.1367,8262.698,4
-691.7678,8105.44336,4
-691.704163,7939.66553,4
-691.4004,8315.069,4
-691.1041,7754.08545,4
-691.099,7952.306,4
-690.8041,8023.12549,4
-690.7512,8156.39,4
-690.589844,8038.98926,4
-690.582,8234.097,4
-690.4519,8066.525,4
-690.0977,8669.268,4
-690.0688,8370.892,4
-690.022,8136.214,4
-689.9502,8227.819,4
-689.7232,7982.358,4
-689.397949,8029.65137,4
-689.3922,7687.536,4
-689.3782,7906.82227,4
-689.2848,7648.16357,4
-688.9294,8075.57861,4
-688.9205,8395.032,4
-688.8842,8010.607,4
-688.8589,8011.80566,4
-688.3549,7946.212,4
-688.2621,8193.068,4
-688.1554,7868.88,4
-687.944946,7848.07227,4
-687.9321,7959.906,4
-687.5469,7754.991,4
-687.407,8260.667,4
