Ch1 Amplitude,Ch2 Amplitude,Cluster
-172.2828,1463.2771,1
-170.796112,1520.159,1
-170.617966,1449.16443,1
-169.674057,1491.50964,1
-169.631058,1490.797,1
-168.966843,1410.47778,1
-165.564377,1488.88086,1
-165.320251,1433.39771,1
-164.75354,1424.32,1
-164.733414,1391.53711,1
-163.343353,1483.48889,1
-161.930969,1449.48413,1
-161.291046,1386.20972,1
-161.205582,1481.75427,1
-161.133972,1404.71008,1
-160.983429,1504.55652,1
-160.913391,1519.97375,1
-160.567642,1472.58533,1
-160.511353,1290.55994,1
-160.490585,1380.16541,1
-160.487915,1419.34521,1
-159.971939,1570.8877,1
-159.725967,1333.6156,1
-159.61235,1352.033,1
-159.447052,1461.17908,1
-159.284454,1445.32813,1
-159.279846,1406.87524,1
-158.415375,1456.61182,1
-158.228409,1308.1084,1
-157.818359,1451.322,1
-157.471725,1393.04419,1
-157.4308,1332.69543,1
-156.99794,1433.86975,1
-156.922028,1481.25037,1
-156.825516,1289.21655,1
-156.816,1398.78857,1
-156.585953,1397.8905,1
-156.2069,1412.45081,1
-155.6793,1330.75769,1
-155.640976,1443.14709,1
-155.5805,1335.57642,1
-155.524582,1353.03308,1
-155.320023,1405.5033,1
-155.270248,1438.00781,1
-155.190536,1361.15076,1
-155.126465,1516.1853,1
-154.621124,1307.25293,1
-154.467285,1374.70166,1
-154.285583,1367.66028,1
-154.161224,1406.68689,1
-154.15094,1491.07129,1
-154.145554,1446.51343,1
-154.105759,1404.4353,1
-153.63533,1359.21765,1
-152.8165,1440.388,1
-152.704,1607.33508,1
-152.633316,1474.53784,1
-152.6066,1430.1825,1
-152.584213,1414.76318,1
-152.402985,1297.39319,1
-152.237625,1506.17151,1
-151.9938,1376.51453,1
-151.973465,1553.06079,1
-151.899124,1350.38684,1
-151.854431,1377.01074,1
-151.717773,1431.021,1
-151.6779,1390.67126,1
-151.670654,1372.96985,1
-151.638779,1359.574,1
-151.559265,1213.94031,1
-151.5517,1362.25562,1
-151.472977,1471.04016,1
-151.273987,1358.80579,1
-151.229691,1255.40784,1
-151.227692,1284.67993,1
-151.193634,1568.0426,1
-151.032471,1291.95923,1
-150.817978,1411.46375,1
-150.660858,1486.396,1
-150.53064,1363.35229,1
-150.4373,1360.34912,1
-150.410187,1347.161,1
-150.305588,1288.14661,1
-150.180115,1391.21716,1
-150.158615,1354.923,1
-150.14537,1344.14612,1
-150.048828,1315.16455,1
-149.9846,1359.06274,1
-149.978989,1396.5304,1
-149.83194,1300.29443,1
-149.81221,1407.8811,1
-149.807709,1483.39709,1
-149.78389,1458.75635,1
-149.775742,1179.79309,1
-149.716354,1478.82849,1
-149.703766,1429.147,1
-149.692734,1434.44348,1
-149.592529,1387.49487,1
-149.309418,1422.78223,1
-149.303223,1345.8905,1
-149.230423,1299.69958,1
-148.951447,1343.74658,1
-148.707428,1443.56519,1
-148.686691,1180.20935,1
-148.651962,1459.54944,1
-148.6459,1392.74451,1
-148.619949,1383.11975,1
-148.497971,1234.75,1
-148.480713,1219.5741,1
-148.466019,1344.48865,1
-148.458817,1401.34351,1
-148.371368,1447.52112,1
-148.196716,1247.34338,1
-148.195358,1269.73962,1
-148.176559,1482.936,1
-147.672409,1300.92859,1
-147.637177,1455.53442,1
-147.549347,1398.05957,1
-147.42659,1427.84082,1
-147.419617,1360.57349,1
-147.379776,1388.85876,1
-147.285629,1337.486,1
-147.212646,1361.75183,1
-147.205292,1352.95532,1
-147.160965,1245.87781,1
-147.148911,1381.53247,1
-146.931915,1391.426,1
-146.919754,1342.56824,1
-146.7055,1406.98645,1
-146.634491,1249.7113,1
-146.616516,1398.4447,1
-146.590317,1232.696,1
-146.564,1322.56531,1
-146.546585,1324.76941,1
-146.5285,1370.11621,1
-146.495972,1270.89429,1
-146.390182,1369.27808,1
-146.341812,1459.556,1
-146.285721,1238.175,1
-146.1994,1380.21069,1
-146.133865,1376.65027,1
-146.080811,1408.83154,1
-146.048141,1390.24255,1
-146.03006,1342.90112,1
-145.9866,1380.88879,1
-145.934052,1341.64844,1
-145.873123,1220.55762,1
-145.860275,1320.06848,1
-145.854645,1426.705,1
-145.630325,1261.20337,1
-145.623428,1403.49976,1
-145.6067,1510.83838,1
-145.473083,1526.78,1
-145.442184,1318.4032,1
-145.428482,1416.18567,1
-145.350677,1275.88135,1
-145.298569,1400.91174,1
-145.292953,1316.36731,1
-145.281891,1284.55469,1
-145.260117,1318.908,1
-145.2291,1374.37451,1
-145.215652,1399.73169,1
-145.213,1247.28772,1
