Ch1 Amplitude,Ch2 Amplitude,Cluster
-197.113632,1754.65637,1
-185.209518,1562.10425,1
-184.623215,1573.06714,1
-183.098648,1583.68433,1
-174.317917,1380.68213,1
-173.989014,1577.30261,1
-172.9255,1658.31091,1
-172.419754,1432.695,1
-172.109634,1361.70776,1
-171.785049,1354.70386,1
-169.943359,1475.8512,1
-169.524429,1565.79,1
-169.337341,1354.36475,1
-169.2269,1466.371,1
-168.397324,1517.7644,1
-168.383911,1601.00977,1
-167.719086,1534.56653,1
-167.389771,1590.33948,1
-166.7935,1495.74829,1
-166.573868,1558.4845,1
-166.519653,1537.9624,1
-165.838,1616.15991,1
-165.721786,1682.6825,1
-164.9025,1452.22632,1
-164.220657,1488.79565,1
-164.213531,1511.24451,1
-164.161652,1418.79883,1
-164.05014,1559.31982,1
-163.955734,1559.41272,1
-163.909821,1615.50269,1
-163.901031,1484.72742,1
-163.844009,1591.46008,1
-163.705963,1438.71667,1
-163.533173,1554.37769,1
-163.509842,1615.60229,1
-162.953827,1522.27271,1
-162.819351,1637.27673,1
-162.669632,1601.96606,1
-162.5236,1601.341,1
-162.477676,1595.51245,1
-162.369431,1543.67249,1
-162.129974,1443.98145,1
-162.062561,1626.274,1
-161.733322,1505.09277,1
-161.586884,1449.59265,1
-161.442047,1410.93091,1
-161.307846,1515.29675,1
-161.198181,1367.99292,1
-161.168152,1388.76758,1
-161.153717,1599.3623,1
-161.086334,1607.25757,1
-161.0311,1541.38977,1
-160.877213,1562.37048,1
-160.50975,1563.71692,1
-160.271637,1442.50757,1
-160.117737,1545.06262,1
-159.880585,1467.336,1
-159.766647,1493.70862,1
-159.589432,1506.48547,1
-159.5167,1316.09509,1
-159.407379,1564.517,1
-159.401382,1501.506,1
-159.395233,1514.3396,1
-159.24617,1556.87585,1
-159.12854,1489.85913,1
-158.974457,1488.76489,1
-158.969925,1486.03564,1
-158.569153,1474.5697,1
-158.4414,1434.9165,1
-158.376511,1439.82,1
-158.124222,1581.89014,1
-157.833389,1536.02649,1
