Ch1 Amplitude,Ch2 Amplitude,Cluster
-105.522255,1229.62561,1
-104.42366,1323.16589,1
-103.421272,1177.09888,1
-101.271873,1114.1925,1
-99.50349,1054.98315,1
-98.24998,1347.11633,1
-98.03436,1118.50366,1
-97.73198,1206.3645,1
-97.65927,1180.42932,1
-97.2024841,1172.41028,1
-97.1033,1248.18457,1
-96.71415,1155.2179,1
-95.63875,1102.066,1
-95.53369,1099.08618,1
-95.48061,1185.78772,1
-95.28261,1156.02185,1
-94.26386,1234.32727,1
-94.11487,1038.3573,1
-93.92044,1144.46265,1
-93.19608,1170.202,1
-93.1585159,1185.12756,1
-92.98296,1163.21045,1
-92.78282,1284.15173,1
-92.2264557,1213.12573,1
-91.1728745,1226.95691,1
-91.07603,1115.77136,1
-90.88084,1122.8291,1
-90.6270447,1123.544,1
-90.55087,1205.83618,1
-90.06423,1181.25159,1
-90.05216,1224.05542,1
-89.71643,1056.51477,1
-89.5458145,1275.99915,1
-89.142746,1173.69275,1
-88.8238754,1204.96509,1
-88.4108353,1139.17554,1
-87.07389,1026.18237,1
-87.06717,1240.96387,1
-87.05046,1087.6355,1
-86.8520355,1227.108,1
-86.82353,1062.90771,1
-86.62992,1148.38989,1
-86.42647,1239.29211,1
-86.31352,1235.30933,1
-86.28766,1075.1886,1
-86.2008743,1050.991,1
-85.86302,1221.469,1
-85.81152,1083.38513,1
-85.679924,1072.55969,1
-85.60178,1094.15039,1
-85.38229,1225.58386,1
-85.2731247,1129.85779,1
-85.18538,1057.16943,1
-85.07607,1061.23254,1
-85.0188141,1116.48755,1
-84.8711853,1144.44958,1
-84.81901,1157.87036,1
-84.7699356,1175.23633,1
-84.70813,1191.9895,1
-84.70507,1207.64429,1
-84.2837448,1013.59766,1
-84.20323,1078.941,1
-83.91029,1155.81628,1
-83.80951,1106.05688,1
-83.73804,1165.87073,1
-83.6477356,1127.80737,1
-83.5943756,1236.65894,1
-83.495285,1244.10962,1
-83.48909,1200.58618,1
-83.4815,1170.42285,1
-83.4651,1052.15039,1
-83.38664,1126.99023,1
-83.36782,1133.43774,1
-83.32413,1067.38611,1
-83.16656,1037.64038,1
-83.16217,1149.69763,1
-83.1526947,1193.09631,1
-82.9554,1105.833,1
-82.80363,1209.33228,1
-82.75,1184.42822,1
-82.67947,1042.00989,1
-82.4651947,1130.19031,1
-82.45611,1089.42786,1
-82.38559,1018.14392,1
-82.3121,1104.46021,1
-82.1809,1257.48157,1
-82.0221252,1024.87524,1
-81.96149,1048.75513,1
-81.93336,1208.2771,1
-81.89808,977.9556,1
-81.88099,1014.854,1
-81.791954,1091.57983,1
-81.61335,1219.79321,1
-81.5992355,1005.50751,1
-81.58293,1228.3855,1
-81.56699,1242.91626,1
-81.44665,1142.748,1
-81.35694,927.8368,1
-81.3503342,1102.92273,1
-81.124,1146.64441,1
-81.04513,1034.52258,1
-81.03055,1115.09,1
-80.9892044,997.4813,1
-80.92837,1111.45081,1
-80.83043,1261.27625,1
-80.7891159,1222.84155,1
-80.73994,1002.992,1
-80.68098,1069.20178,1
-80.66863,1117.24268,1
-80.64013,1256.66333,1
-80.4853058,1115.43372,1
-80.4655,1143.04492,1
-80.37931,1103.81458,1
-80.27144,1150.98865,1
-80.2266846,1230.87671,1
-80.11838,1087.00427,1
-80.0657,1091.55078,1
-80.04973,1180.96936,1
-80.02199,1186.99817,1
-80.00969,1294.36914,1
-79.9774,1052.72754,1
-79.86851,1060.58923,1
-79.707634,1103.61047,1
-79.70389,1283.87512,1
