Ch1 Amplitude,Ch2 Amplitude,Cluster
481.312683,441.366669,4
535.956238,553.0291,4
549.1277,595.781433,4
550.6833,448.72,4
557.166138,622.6461,4
558.797546,565.0728,4
562.465332,553.102356,4
563.222534,619.4666,4
564.1315,544.4796,4
566.206238,519.6136,4
566.7135,630.973145,4
567.1275,609.413269,4
569.2918,582.557251,4
569.765259,643.935364,4
569.964966,565.5434,4
570.6823,589.871155,4
570.764954,528.5032,4
571.31,661.4297,4
571.3937,696.069,4
571.4792,636.7712,4
571.5445,634.274231,4
572.0445,593.0198,4
572.4309,537.339233,4
572.997864,374.618866,4
573.6832,638.636,4
573.7488,608.20636,4
574.30835,580.4051,4
574.373047,551.422546,4
574.4595,632.0687,4
574.4715,605.2584,4
574.5752,526.8896,4
574.645142,620.4289,4
575.4017,571.8509,4
575.512939,577.452454,4
576.114,596.6178,4
576.266968,562.0419,4
576.8211,562.1356,4
576.8265,580.16394,4
577.5628,583.4146,4
577.596,601.3095,4
577.9314,590.874,4
578.1104,624.74646,4
578.1426,607.280762,4
578.318848,519.864746,4
578.5717,584.5036,4
578.893,539.516846,4
578.9427,541.667358,4
579.7394,568.591858,4
580.062439,553.6799,4
580.074,658.5575,4
580.676941,519.506348,4
580.9243,688.0733,4
581.1014,504.414978,4
581.6993,599.4198,4
581.7501,632.3209,4
582.4102,575.9782,4
582.4682,602.8775,4
582.523132,566.600769,4
582.9515,583.3906,4
583.0866,585.878235,4
583.5381,571.7792,4
583.5703,520.5844,4
583.599731,611.1726,4
583.7337,539.0058,4
583.7564,590.8927,4
584.1005,555.4833,4
584.130432,569.751038,4
584.317139,571.2182,4
584.932556,651.1298,4
584.9349,571.9544,4
584.955444,576.8835,4
585.0037,672.1182,4
585.0849,517.1257,4
585.2398,656.1207,4
585.4312,597.725464,4
585.5023,566.7038,4
585.6174,589.827454,4
585.672668,571.6407,4
585.7774,558.930542,4
585.7789,573.491,4
586.053345,571.584,4
586.195251,543.7841,4
586.449036,585.305969,4
586.4528,544.4535,4
586.515137,529.0689,4
586.7187,544.329041,4
586.793762,586.4988,4
587.0706,595.928955,4
587.2408,571.113,4
587.4909,600.4285,4
587.5805,584.646057,4
587.920166,580.630737,4
587.9316,563.9366,4
588.1964,615.3336,4
588.422241,520.3672,4
588.622559,626.86554,4
588.8706,620.144531,4
588.964,584.0587,4
588.988953,621.7032,4
589.140442,565.35675,4
589.186462,600.7143,4
589.2179,597.5059,4
589.296,587.849854,4
589.7048,599.352234,4
589.858765,606.279968,4
590.4107,554.279541,4
590.4443,618.829,4
590.688,607.784241,4
590.694458,593.682556,4
590.775,568.8723,4
590.777832,622.8192,4
590.8318,557.666748,4
591.1593,561.243347,4
591.1785,555.8711,4
591.1862,596.1304,4
591.3498,604.5195,4
591.4446,640.8513,4
591.452637,561.3389,4
591.5371,620.828552,4
591.8157,547.516541,4
591.9386,662.2384,4
591.9572,536.7742,4
592.00885,590.077332,4
592.0221,579.4283,4
592.1639,557.5009,4
592.2112,594.549866,4
592.2781,634.186768,4
592.3841,552.9451,4
592.394531,563.742859,4
592.418,573.826355,4
592.469238,541.6158,4
592.662231,575.1248,4
592.7608,606.715454,4
592.859558,623.1224,4
592.870667,631.8294,4
593.0049,631.6838,4
593.1334,576.2143,4
593.142334,570.2245,4
593.1592,564.184631,4
593.287537,591.4606,4
593.4072,550.9216,4
593.4093,597.040466,4
593.475647,610.6341,4
593.6558,586.1796,4
593.664734,584.675537,4
593.880066,635.7814,4
593.8849,577.7643,4
593.9063,563.7045,4
593.9481,574.3416,4
593.9703,605.442261,4
594.147766,554.7178,4
594.178955,636.1685,4
594.2749,571.27,4
594.404053,624.0454,4
594.6093,651.4141,4
594.6335,582.595642,4
594.720947,617.0296,4
594.746948,567.622253,4
594.777344,618.5254,4
594.8593,591.9186,4
