Ch1 Amplitude,Ch2 Amplitude,Cluster
398.066437,361.393158,4
454.807739,483.2322,4
549.9452,622.6769,4
557.5301,648.608,4
564.66,579.7289,4
569.09906,613.6134,4
570.5214,615.949,4
570.8514,595.3284,4
573.0971,625.7568,4
573.759766,655.0115,4
577.460266,579.1946,4
582.1746,586.420349,4
582.1943,711.186157,4
582.283752,622.6114,4
582.887,608.2103,4
583.59,669.659058,4
583.865234,605.2475,4
584.0388,636.2749,4
584.0932,676.8691,4
584.327332,590.2576,4
584.6643,655.955,4
585.2015,608.9469,4
587.4427,626.3632,4
588.6987,590.1604,4
589.002,661.9238,4
589.1441,585.05426,4
589.8362,673.8291,4
591.0002,567.991638,4
591.2712,598.4319,4
591.5013,597.6272,4
591.7942,592.1349,4
591.8848,589.5982,4
592.271851,658.4902,4
592.6427,558.208435,4
593.287964,601.875854,4
593.911,501.430481,4
594.2569,625.197754,4
594.407166,595.2408,4
594.432434,584.7842,4
594.81665,534.167847,4
594.9431,605.1018,4
595.137268,613.614563,4
595.421631,562.62616,4
596.3547,603.2302,4
596.766846,647.9679,4
597.7955,585.219055,4
598.4117,611.283569,4
598.5558,562.2395,4
598.7344,565.098755,4
598.8782,608.154236,4
598.9935,583.0395,4
599.212,654.544434,4
599.4397,611.041138,4
599.5121,600.6041,4
599.5351,571.2686,4
599.7846,585.705444,4
600.0403,569.156738,4
600.0573,653.6203,4
600.375061,616.2177,4
600.410767,575.8075,4
600.560242,529.0848,4
601.3885,620.397461,4
601.6777,630.196838,4
601.705139,660.187866,4
601.9394,624.59436,4
601.9444,537.1717,4
602.4206,637.325,4
602.4386,596.458435,4
602.489746,549.365356,4
602.8828,597.7623,4
603.0023,647.9681,4
603.0176,658.7318,4
603.0484,586.1626,4
603.283752,535.2343,4
603.2947,578.188,4
603.402954,639.4875,4
603.5677,643.7677,4
603.629944,569.4428,4
603.6686,631.4988,4
603.7559,550.3012,4
603.8758,629.3941,4
604.0198,638.0315,4
604.120544,629.991943,4
604.3522,611.5509,4
604.4846,578.0607,4
604.7197,611.5773,4
605.3937,659.5034,4
605.580139,541.6888,4
605.7432,507.378784,4
605.7432,601.6493,4
605.8373,539.9397,4
605.8671,544.413147,4
605.912048,627.1426,4
605.922852,613.640137,4
605.964355,608.876648,4
606.0981,550.616638,4
606.138367,599.637,4
606.1706,615.1333,4
606.2798,580.1116,4
606.3916,661.9022,4
606.482361,647.988647,4
606.5853,646.218567,4
606.6361,606.5788,4
606.8585,627.6856,4
606.980652,684.1362,4
606.9848,539.3999,4
607.1019,523.499268,4
607.1222,606.644165,4
607.192139,562.8547,4
607.5882,559.8209,4
607.5887,624.8757,4
607.697937,578.1201,4
607.7253,636.9787,4
608.2658,580.044,4
608.307861,654.833,4
608.912048,557.0203,4
609.4916,612.7326,4
609.5896,599.4475,4
609.5897,611.097351,4
609.6718,593.976135,4
609.7871,643.817444,4
609.8438,602.824341,4
610.1544,611.2858,4
610.184,647.0645,4
610.202332,610.1287,4
610.2205,567.391052,4
610.3712,660.6875,4
610.412964,579.638367,4
610.4482,616.686951,4
610.5052,589.9714,4
610.5665,655.5284,4
610.673462,562.644531,4
610.810364,598.402832,4
610.8904,626.1162,4
610.8934,593.9779,4
611.2138,560.488037,4
611.2459,607.4733,4
611.7151,642.0102,4
611.7388,608.5124,4
611.7456,558.2044,4
611.858765,578.669739,4
611.9127,571.4347,4
612.0289,621.720154,4
612.069336,588.3453,4
612.127869,664.970947,4
612.1569,589.9085,4
612.157532,579.9594,4
612.1839,612.6616,4
612.2519,575.866943,4
612.705933,565.0667,4
612.868042,651.5493,4
613.0983,524.9683,4
613.2052,591.619751,4
613.283,609.7312,4
613.457,642.369751,4
613.668762,582.7563,4
613.7329,652.5215,4
613.8,555.8273,4
613.8619,571.2386,4
613.9854,639.164246,4
614.1203,602.393433,4
614.136169,643.2124,4
614.2872,553.699768,4
614.4654,672.221436,4
614.512451,581.9273,4
614.654053,566.818359,4
614.945068,641.9461,4
615.0281,548.5894,4
615.123047,558.3672,4
615.152344,590.625854,4
615.2623,586.8642,4
615.4013,629.27124,4
615.4175,550.51825,4
615.639343,597.947266,4
615.759338,584.541,4
615.920166,569.9053,4
615.932068,575.2087,4
615.9598,624.803,4
616.259766,669.0021,4
616.287964,615.788269,4
616.428467,558.510132,4
616.4302,604.329,4
616.4765,587.685059,4
616.518555,593.458862,4
616.5209,632.4272,4
616.6252,579.122437,4
616.649,624.1889,4
616.7038,559.9001,4
616.992554,623.0651,4
617.010559,558.8823,4
617.068,545.836243,4
617.1762,534.9555,4
617.2189,556.7988,4
617.2669,608.267334,4
617.442566,580.5466,4
617.4563,672.401367,4
617.700745,677.718445,4
617.700745,581.227844,4
617.717834,594.5588,4
617.8694,595.7245,4
617.9476,637.6582,4
617.973755,608.4432,4
618.2554,609.093,4
618.2667,586.5789,4
618.4145,548.4521,4
618.4748,559.6027,4
618.5765,571.932434,4
618.5978,569.903931,4
618.667053,541.2212,4
618.6765,595.1654,4
618.7104,600.8286,4
618.810669,570.4018,4
618.8507,594.03125,4
618.994446,566.090637,4
619.0131,599.9601,4
619.1149,625.8215,4
619.398743,620.4802,4
619.4046,604.5443,4
619.5119,680.8818,4
619.517761,607.3979,4
619.6332,603.001465,4
619.7578,524.142944,4
619.766357,545.331848,4
619.809448,548.1975,4
619.8829,568.1976,4
619.886169,586.451965,4
619.908142,543.595459,4
619.942444,663.1751,4
619.988,550.5887,4
620.2284,632.5369,4
620.283142,540.8125,4
620.3021,562.7183,4
620.377258,588.779541,4
620.4739,504.713379,4
620.7493,598.119446,4
620.773865,615.2199,4
620.9589,607.2387,4
621.008362,598.0199,4
621.0145,540.8735,4
621.07666,528.929138,4
621.120544,614.8941,4
621.141235,591.629761,4
621.4052,635.8139,4
621.5471,660.799255,4
621.6985,598.331848,4
621.83,629.9911,4
622.021545,562.709045,4
622.0475,589.1979,4
622.0595,579.951233,4
622.0669,632.593262,4
622.094666,677.4966,4
622.1575,569.495,4
622.1577,591.193237,4
622.1881,546.454163,4
622.344055,559.9827,4
622.358459,568.022034,4
622.368652,588.866333,4
622.4844,637.4363,4
622.507,570.0424,4
622.7473,614.2851,4
622.776733,608.5437,4
622.8874,621.49,4
622.931763,529.650757,4
623.0083,582.7012,4
623.072266,634.363464,4
623.1607,580.617737,4
623.2537,646.275635,4
623.2675,603.330139,4
623.376343,625.746948,4
623.381531,638.2662,4
623.405151,600.4156,4
623.536255,613.056946,4
623.5463,617.666565,4
623.6989,565.903442,4
623.7151,531.7316,4
623.7717,572.1669,4
623.773,572.348,4
623.952332,607.6227,4
624.007935,597.63324,4
624.0781,599.7182,4
624.1447,587.6231,4
624.1586,568.826,4
624.259644,541.516968,4
624.422058,637.271851,4
624.4921,611.8811,4
624.5461,576.1193,4
624.6271,548.1458,4
624.754944,567.785,4
624.760254,501.2191,4
624.7729,618.972351,4
624.8871,602.948,4
624.9195,650.3255,4
624.9615,606.3922,4
625.0122,587.253357,4
625.2057,628.717,4
625.3082,519.3393,4
625.3311,561.7502,4
625.465332,553.353333,4
625.4951,637.109558,4
625.773132,512.030762,4
625.795532,600.174744,4
625.813538,542.3031,4
625.826965,565.367065,4
625.9208,620.5721,4
625.9865,612.2809,4
626.0536,540.2912,4
626.104,559.099,4
626.1708,563.0366,4
626.198669,566.760132,4
626.2768,564.6229,4
626.689,602.3946,4
626.7033,666.285461,4
626.918457,610.0315,4
626.931763,577.2255,4
626.9621,562.0575,4
627.0985,544.0212,4
627.1415,650.1055,4
627.287964,547.4505,4
627.3332,643.2034,4
627.3816,582.2817,4
627.3986,690.4452,4
627.432556,565.5303,4
627.46405,596.709839,4
627.4642,635.237366,4
627.4666,605.2354,4
627.544067,615.7489,4
627.5506,612.014465,4
627.6685,675.725647,4
627.7133,623.1471,4
627.892,590.0432,4
628.1606,674.407654,4
628.1776,618.1753,4
628.2386,587.0874,4
628.2533,612.1524,4
628.329346,595.785034,4
628.484436,635.9022,4
628.540955,622.5727,4
628.5542,540.8664,4
628.581848,533.9467,4
628.810242,632.0093,4
628.819641,589.992859,4
628.8427,566.2575,4
628.8614,653.6551,4
628.8825,546.728638,4
628.9323,557.9708,4
628.9345,631.8526,4
628.9426,602.623657,4
628.9755,599.773,4
628.989136,566.88,4
628.999146,563.8327,4
629.035645,590.534,4
629.1167,584.0203,4
629.1382,616.998047,4
629.140869,634.5479,4
629.1834,611.8427,4
629.1905,612.704956,4
629.21,551.8654,4
629.2838,599.3101,4
629.418945,584.59375,4
629.4785,557.501038,4
629.580444,619.1417,4
629.651062,624.2624,4
629.654663,716.6164,4
629.6743,603.310364,4
629.6939,583.088745,4
629.7519,625.6994,4
629.7782,636.929138,4
629.8702,616.4134,4
629.8918,600.7072,4
629.8922,619.9651,4
629.912659,589.578064,4
629.9746,585.3995,4
630.0455,582.7893,4
630.08,576.7357,4
630.1511,558.2966,4
630.153259,585.778137,4
630.190552,573.129456,4
630.197266,600.615662,4
630.2452,574.4304,4
630.2555,593.06604,4
630.2781,637.3559,4
630.279358,540.333069,4
630.2841,566.078552,4
630.30426,638.7897,4
630.3064,651.1626,4
630.384033,669.595154,4
630.4237,614.9114,4
630.431641,569.570068,4
630.449463,607.3192,4
630.605469,563.2685,4
630.632263,525.846,4
630.7409,550.6106,4
630.8089,595.1721,4
630.8376,608.380432,4
630.864746,588.7057,4
630.9337,609.0592,4
630.9484,566.3655,4
630.9613,577.7566,4
631.022644,585.4793,4
631.1917,529.181335,4
631.200256,592.3083,4
631.4115,601.596,4
631.441162,565.301147,4
631.5229,526.3882,4
631.557251,636.600464,4
631.5935,589.6125,4
631.6539,655.9134,4
631.6571,570.0338,4
631.6748,591.1732,4
631.711,587.8238,4
631.8377,604.679749,4
631.882446,559.151733,4
631.9298,567.721558,4
631.950745,583.9458,4
632.0313,539.9685,4
632.036743,585.0317,4
632.1557,550.521545,4
632.2153,608.6092,4
632.388245,623.9049,4
632.41,622.3776,4
632.4819,596.6039,4
632.568848,534.953552,4
632.609863,586.93866,4
632.6183,601.834045,4
632.701843,599.9026,4
632.7021,601.712769,4
632.7159,643.8479,4
632.734436,532.161255,4
632.7966,572.5538,4
632.847961,538.5385,4
632.9084,608.7243,4
632.9171,586.524231,4
632.9434,541.283752,4
633.0409,554.569,4
633.0438,691.849,4
633.0463,570.3625,4
633.0807,605.4118,4
633.103,571.4834,4
633.1425,607.7429,4
633.259155,655.9638,4
633.348633,655.8634,4
633.3641,588.1257,4
633.444458,583.4362,4
633.561768,550.533142,4
633.759,619.710144,4
633.762939,601.707,4
633.7759,656.803467,4
633.7924,562.3459,4
633.82196,630.639343,4
633.843445,627.0822,4
633.8533,612.51355,4
633.91156,647.7428,4
633.922241,650.093,4
634.0685,618.9889,4
634.09375,551.351135,4
634.1004,536.550354,4
634.163452,600.211853,4
634.2072,620.935364,4
634.250061,667.6053,4
634.3047,608.748,4
634.34,636.6576,4
634.3497,584.736755,4
634.493,625.5749,4
634.6342,652.4287,4
634.6821,579.2889,4
634.7857,607.957,4
634.7901,578.744446,4
634.792358,618.4848,4
634.831,643.450745,4
634.8824,572.1774,4
635.0001,576.3632,4
635.0356,595.4253,4
635.0826,574.294739,4
635.0906,541.2125,4
635.0945,598.5079,4
635.1017,600.8613,4
635.1233,652.481445,4
635.132935,631.907654,4
635.1926,622.9479,4
635.1995,566.3136,4
635.2466,567.378052,4
635.2765,625.544861,4
635.3375,562.361938,4
635.414856,540.930359,4
635.592651,586.2794,4
635.618652,591.894165,4
635.635254,629.5742,4
635.643066,583.540955,4
635.704346,629.7168,4
635.972961,573.488159,4
636.0634,586.615845,4
636.1803,627.6347,4
636.1936,594.568237,4
636.1942,599.8687,4
636.2283,554.3306,4
636.2639,593.6326,4
636.33,602.5039,4
636.353638,538.5792,4
636.3654,623.921631,4
636.3899,605.476868,4
636.429565,624.407837,4
636.433,611.261047,4
636.452148,548.524658,4
636.573669,636.9171,4
636.729,561.7687,4
636.7959,598.6624,4
636.801941,640.020264,4
636.886,580.780762,4
636.905,500.407074,4
637.0917,628.643,4
637.092,576.6579,4
637.103,588.2585,4
637.2078,582.9273,4
637.242432,598.824646,4
637.2566,601.3679,4
637.292847,616.0601,4
637.431152,568.243835,4
637.4357,626.806763,4
637.4384,614.447449,4
637.4714,586.501953,4
637.6179,611.6022,4
637.6981,600.2179,4
637.7122,642.468933,4
637.7191,588.9061,4
637.7676,596.7634,4
637.835754,636.863647,4
637.8949,608.1765,4
637.915466,600.916443,4
637.927246,546.3521,4
637.961365,558.283264,4
637.987854,597.438354,4
638.0065,630.3796,4
638.090454,558.531067,4
638.270447,565.1862,4
638.5652,622.9841,4
638.5914,589.3961,4
638.625366,615.8963,4
638.7437,643.4381,4
638.7486,592.8855,4
638.7514,590.4276,4
638.7629,544.8939,4
638.7629,538.0572,4
638.7722,617.7115,4
639.107361,567.7299,4
639.154846,610.2523,4
639.220337,622.5182,4
639.373657,569.8384,4
639.4503,597.261047,4
639.490356,534.2652,4
639.492737,631.693054,4
639.526367,582.6129,4
639.5481,586.423035,4
639.66864,614.906555,4
639.8102,622.1895,4
639.8966,553.4373,4
639.9082,599.586853,4
639.9478,640.037964,4
640.0373,541.196045,4
640.0564,612.926941,4
640.0918,620.2391,4
640.1893,610.535,4
640.2128,545.2856,4
640.243469,612.770935,4
640.320068,629.651245,4
640.3377,525.8515,4
640.3461,604.7757,4
640.359436,592.555054,4
640.3937,576.886841,4
640.4019,575.5565,4
640.4224,561.9844,4
640.4736,629.2416,4
640.617737,572.5133,4
640.7119,552.610657,4
640.738342,593.8308,4
640.7795,603.7652,4
640.7859,625.83136,4
640.952332,580.0849,4
640.961,587.313354,4
640.9867,573.8921,4
640.9926,625.4384,4
641.0168,652.8129,4
641.0246,547.905334,4
641.0534,549.7953,4
641.0863,613.8445,4
641.114136,525.565369,4
641.175232,580.4657,4
641.238831,593.2894,4
641.2974,685.9142,4
641.3176,580.70166,4
641.3298,644.582153,4
641.3843,539.332458,4
641.451355,512.21344,4
641.458069,580.2531,4
641.4985,603.0095,4
641.515137,586.618347,4
641.5759,655.463,4
641.7703,672.711548,4
641.9537,561.6595,4
641.989746,646.547363,4
642.077637,601.583862,4
642.0936,591.8821,4
642.1021,607.8955,4
642.155334,610.665955,4
642.1937,582.1444,4
642.198,607.8159,4
642.2086,609.963745,4
642.279968,602.402954,4
642.3037,530.9511,4
642.372,599.9935,4
642.3943,587.5521,4
642.4158,520.618469,4
642.43866,616.393738,4
642.467468,637.6862,4
642.4709,610.308044,4
642.514,585.4348,4
642.5928,561.7087,4
642.6563,618.069458,4
642.6599,541.6545,4
642.7046,653.577942,4
642.7087,583.522339,4
642.722351,586.2437,4
