Ch1 Amplitude,Ch2 Amplitude,Cluster
-150.6933,4051.103,4
-149.830627,4284.833,4
-141.078,4138.38037,4
-139.751312,4096.06738,4
-139.45108,4212.635,4
-138.132553,4245.01758,4
-137.395737,4034.83228,4
-134.589722,4168.9917,4
-133.795929,4044.61816,4
-130.898651,4014.965,4
-129.379715,4181.46045,4
-128.532684,4367.098,4
-127.257111,4268.029,4
-127.167686,4071.613,4
-127.05661,4219.73828,4
-126.924339,4106.442,4
-126.462616,4267.55859,4
-126.450264,4187.594,4
-125.715721,4210.89,4
-124.925804,4149.713,4
-124.181038,3925.10669,4
-123.894775,4275.38574,4
-123.431458,4123.871,4
-123.222382,4076.007,4
-123.209816,3943.329,4
-123.150444,4190.415,4
-123.120857,4173.69531,4
-122.62912,4259.07227,4
-122.611206,4169.062,4
-121.97451,4096.73975,4
-121.27301,4025.87134,4
-120.841576,4224.38574,4
-120.010536,4118.223,4
-119.571022,4086.631,4
-118.788483,4166.21143,4
-118.623825,4091.40576,4
-117.787239,4067.84033,4
-117.7315,4333.312,4
-117.52433,4238.35742,4
-117.252625,3964.17578,4
-117.18689,4032.32739,4
-117.185333,4202.637,4
-117.07811,4371.90332,4
-117.052841,4240.80957,4
-116.859047,4286.20752,4
-116.751534,4144.62061,4
-116.489906,4097.879,4
-116.157127,4182.065,4
-116.073563,4109.7876,4
-115.941093,4158.52,4
-115.005432,4004.27563,4
-114.992889,4305.355,4
-114.8411,4282.80127,4
-114.435585,4043.38647,4
-114.174133,4062.539,4
-113.863792,4196.3833,4
-113.601311,4263.536,4
-113.472015,4305.18945,4
-111.78978,4035.71729,4
-111.549171,4300.47266,4
-111.531479,4142.957,4
-111.379005,4065.249,4
-111.210495,4283.925,4
-111.111832,4000.10645,4
-111.03141,4366.009,4
-110.678986,3927.0437,4
-110.650742,4094.98022,4
-110.636177,4300.21729,4
-110.443062,4129.21729,4
-110.291779,4208.24463,4
-110.28849,4332.0874,4
-110.219337,4183.659,4
-110.194023,4243.54834,4
-109.721031,4133.669,4
-108.870232,4242.18,4
-108.349213,4201.824,4
-107.936928,4039.1814,4
-107.629753,4276.372,4
-107.568871,4023.50854,4
-107.488045,4184.25537,4
-107.461792,4078.581,4
-107.2255,4314.33447,4
-107.114014,4202.50537,4
-106.802879,4162.185,4
-106.662582,4375.51,4
-106.584404,4185.419,4
-106.53302,3969.69043,4
-106.441071,4075.43945,4
-106.31237,4110.244,4
-106.276093,4281.654,4
-106.147049,3921.84619,4
-105.442665,4229.598,4
-105.385246,4087.52319,4
-104.938293,4264.941,4
-103.698013,3830.82959,4
-103.492264,4322.51367,4
-103.470581,4083.85449,4
-103.464561,4143.59131,4
-103.346077,1118.66357,1
-103.279556,4205.119,4
-103.248047,4063.42065,4
-103.162605,4080.37769,4
-103.0239,4274.99951,4
-102.454987,3994.725,4
-102.151657,4077.45532,4
-101.846451,4207.614,4
-101.836372,4152.201,4
-101.811836,4049.37671,4
-101.761147,4262.971,4
-101.672882,4127.86768,4
-101.635544,1153.44543,1
-101.594742,4079.59717,4
-101.354607,4046.7356,4
-100.997658,4108.743,4
-100.86573,4030.76978,4
-100.471443,4142.45752,4
-100.387764,4128.077,4
-100.2041,4115.60742,4
-100.032036,4012.13745,4
-99.83722,4156.872,4
-99.81853,4024.59033,4
-99.78445,4093.01733,4
-99.7637,4172.01074,4
-99.7292,4177.806,4
-99.6313858,4184.629,4
-99.5554657,4018.291,4
-99.28703,4085.087,4
-98.9979,4248.233,4
-98.9966354,3977.365,4
-98.91063,4099.11572,4
-98.68168,4042.56055,4
-98.5772,4130.302,4
-98.50147,4264.14844,4
-98.4967,4040.209,4
-98.38958,4176.22266,4
-98.3665543,4229.142,4
-98.25199,3946.82349,4
-98.2157745,4084.4165,4
-98.16259,4025.02856,4
-97.98975,3948.579,4
-97.92884,4027.41455,4
-97.85298,4313.30957,4
-97.5453949,1206.02954,1
-97.45599,3934.37354,4
-97.35635,4225.3,4
-97.3362656,4053.70264,4
-97.31623,4131.887,4
-97.29526,4217.95,4
-97.1007462,4145.339,4
-97.0750656,1168.24963,1
-97.031,3917.43262,4
-96.64528,4036.336,4
-96.62134,4157.193,4
-96.45723,4319.921,4
-96.42182,4144.52734,4
-96.34237,1223.76062,1
-96.3073959,4226.978,4
-96.10348,4135.36475,4
-95.88089,4354.788,4
-95.771225,4334.40967,4
-95.6778259,4111.086,4
-95.6166153,4154.836,4
-95.58313,4156.815,4
-95.22351,4135.90625,4
-95.08819,3924.62817,4
-95.06503,4222.838,4
-94.9669,4302.499,4
-94.66018,4257.624,4
-94.57702,4143.02,4
-94.50896,3994.54956,4
-94.49439,4129.7666,4
-94.26548,4087.84937,4
-94.25749,3965.277,4
-94.22897,4298.553,4
-94.2077,4165.916,4
-94.19649,4411.423,4
-94.04897,4092.29077,4
-94.04204,4088.103,4
-93.975914,3982.05029,4
-93.6647949,4102.86865,4
-93.64964,4400.35547,4
-93.4526749,4079.12085,4
-93.41389,3972.578,4
-93.24364,4144.863,4
-93.23829,1104.99414,1
-93.11433,4131.839,4
-92.8295746,4278.116,4
-92.71394,1149.10144,1
-92.7012939,3729.41382,4
-92.65014,4213.7915,4
-92.43042,4160.6543,4
-92.32656,4061.829,4
-92.19529,4059.609,4
-92.16488,4092.24829,4
-92.0673447,3973.11377,4
-91.9406738,1120.81812,1
-91.8126144,4088.42065,4
-91.7237549,3881.02051,4
-91.5282745,4052.6333,4
-91.52054,1190.48132,1
-91.4691238,3914.056,4
-91.44422,1104.53052,1
-91.2282257,3998.44336,4
-90.99708,1089.62122,1
-90.96324,4132.28467,4
-90.88515,1095.65808,1
-90.84092,4148.493,4
-90.82097,4039.2793,4
-90.81459,3982.47461,4
-90.75444,1151.95007,1
-90.6929245,4135.54053,4
-90.649,4205.712,4
-90.55537,4166.817,4
-90.55498,3902.09546,4
-90.413765,1090.416,1
-90.4113541,1195.6261,1
-90.2891541,4201.61035,4
-90.14264,4035.243,4
-90.11081,4121.344,4
-89.95888,4040.339,4
-89.92195,3963.98462,4
-89.91564,1153.07214,1
-89.8972,3965.95557,4
-89.72984,4043.63,4
-89.6822052,3958.74536,4
-89.6393356,3977.38818,4
-89.57031,1234.4137,1
-89.52211,1195.12964,1
-89.4748459,1115.2644,1
-89.41407,4193.738,4
-89.3811951,1153.29187,1
-89.28965,4139.812,4
-89.22938,4123.84473,4
-89.12848,4114.258,4
-89.0777,4119.993,4
-88.88301,4235.271,4
-88.84941,1144.81018,1
-88.77854,4131.192,4
-88.76866,4060.60718,4
-88.73743,4247.28125,4
-88.6452942,1248.89258,1
-88.6079,1119.24878,1
-88.46011,3933.9082,4
-88.45709,4001.689,4
-88.35287,1112.54871,1
-88.2613144,1135.78735,1
-88.23197,4061.39014,4
-88.1829147,4079.024,4
-88.08234,1110.72876,1
-88.05463,4097.899,4
-88.01805,3998.287,4
-88.0092239,4164.46875,4
-87.98275,4231.17334,4
-87.93008,3994.7522,4
-87.92061,1128.4762,1
-87.8866959,4206.2207,4
-87.8356247,1174.83386,1
-87.7299652,1223.4082,1
-87.65625,1094.56592,1
-87.60412,4106.574,4
-87.59803,4028.405,4
-87.41515,1194.10388,1
-87.41128,4132.009,4
-87.38571,4194.3335,4
-87.32969,3994.88672,4
-87.1199,4027.12744,4
-87.05267,1117.95142,1
-87.05075,3893.66724,4
-87.02848,1106.928,1
-86.9636459,3886.96118,4
-86.95729,4216.10059,4
-86.89266,4185.566,4
-86.77286,1176.43372,1
-86.64035,4077.429,4
-86.5880051,3929.926,4
-86.56648,1207.64148,1
-86.5043,4202.48145,4
-86.48782,4040.125,4
-86.47739,4140.328,4
-86.35529,3987.69531,4
-86.3356247,1184.5188,1
-86.29102,3984.8645,4
-86.14265,4077.672,4
-86.12473,4085.878,4
-86.0897446,1238.78369,1
-86.0789261,3995.19141,4
-85.96991,4012.27539,4
-85.9616,4125.408,4
-85.93656,1168.92847,1
-85.92805,4268.51465,4
-85.9163055,1205.37048,1
-85.8232,1225.70093,1
-85.7271,1236.472,1
-85.7148361,1142.61572,1
-85.70528,1187.97363,1
-85.67301,1183.36536,1
-85.65465,1131.05225,1
-85.57945,4225.11133,4
-85.57468,1176.09216,1
-85.56809,4252.47266,4
-85.4372,4316.04932,4
-85.42701,4294.34766,4
-85.3928,3865.50049,4
-85.38615,4192.78857,4
-85.32495,1105.21948,1
-85.30009,4108.12158,4
-85.29424,1093.17651,1
-85.193985,1200.85315,1
-85.18806,4028.25415,4
-85.16427,4210.63232,4
-85.15753,3938.37549,4
-85.12288,1126.22192,1
-84.94007,1154.11792,1
-84.93937,4447.344,4
-84.91248,4075.416,4
-84.89791,1182.08362,1
-84.80692,4060.83545,4
-84.77742,1191.94983,1
-84.7631,1130.49963,1
-84.66768,3983.0625,4
-84.66443,4106.252,4
-84.59306,1169.29846,1
-84.56993,1097.81116,1
-84.52098,4084.73682,4
-84.4819,4176.16748,4
-84.48165,1092.63611,1
-84.475914,4225.71045,4
-84.45869,4061.471,4
-84.4324,1130.06787,1
-84.41852,4240.162,4
-84.3569641,4074.876,4
-84.3385544,1154.95691,1
-84.33392,1251.52417,1
-84.28272,3982.2688,4
-84.2198639,1208.022,1
-84.20099,4080.19458,4
-84.11828,1184.76807,1
-84.10018,4135.01465,4
-84.08817,4066.91748,4
-84.08779,4072.01636,4
-84.0164642,4176.58838,4
-83.96303,3988.22021,4
-83.8677,4149.627,4
-83.78013,1093.95679,1
-83.5859756,3974.85962,4
-83.52778,1108.119,1
-83.52629,4310.52539,4
-83.49648,1143.08044,1
-83.4853439,1127.93958,1
-83.42985,4315.732,4
-83.39192,1207.66235,1
-83.3781052,4125.95166,4
-83.27067,1122.66052,1
-83.2252045,3994.0874,4
-83.16867,4033.44849,4
-83.1168442,1071.81409,1
-83.0588,4076.02075,4
-83.04592,3916.56787,4
-83.01064,1176.63623,1
-82.96984,1067.09875,1
-82.87401,1303.8186,1
-82.83405,4297.945,4
-82.82359,3986.675,4
-82.70888,1135.062,1
-82.68739,1109.73718,1
-82.67594,3991.92749,4
-82.64923,4169.401,4
-82.63427,3890.46436,4
-82.61409,4152.04834,4
-82.57704,1237.8208,1
-82.5737152,1139.97852,1
-82.48883,4118.48047,4
-82.47565,4114.4375,4
-82.4669342,1074.52991,1
-82.4565659,4006.144,4
-82.31987,3946.78638,4
-82.30056,4046.76074,4
-82.18417,4018.634,4
-82.09969,4185.4,4
-82.0536041,4063.91968,4
-82.0437851,4069.71167,4
-82.0183,3826.507,4
-82.01275,4205.091,4
-81.9521255,1184.02991,1
-81.9262,3992.24048,4
-81.90385,4077.466,4
-81.8958,1148.99377,1
-81.8818054,1144.98816,1
-81.81393,4092.22754,4
-81.71099,4029.54956,4
-81.6932,1039.97668,1
-81.63031,1126.67163,1
-81.60123,1186.338,1
-81.59373,3955.524,4
-81.43411,1128.1803,1
-81.42496,1088.60071,1
-81.3350449,4077.60425,4
-81.32047,1124.67993,1
-81.2958145,3989.98828,4
-81.2081146,4227.43945,4
-81.1071854,1057.85266,1
-81.10685,1198.94177,1
-81.02767,1181.08789,1
-81.02213,1142.619,1
-81.0162354,4054.689,4
-81.0004044,4311.583,4
-80.9883957,4093.338,4
-80.95794,1197.91064,1
-80.9484558,1104.20923,1
-80.93483,1119.77075,1
-80.9238,1206.82947,1
-80.84762,1177.22644,1
-80.82639,1166.85,1
-80.81242,4192.66,4
-80.8110352,4206.555,4
-80.7865448,1080.27734,1
-80.74338,4054.20557,4
-80.74059,3920.29346,4
-80.70502,1096.64368,1
-80.68494,4264.88037,4
-80.67785,1118.10229,1
-80.6208038,1090.87524,1
-80.586174,1124.79858,1
-80.542244,4168.07031,4
-80.496315,1212.22278,1
-80.4867249,1071.585,1
-80.4494553,4138.466,4
-80.40445,4238.39746,4
-80.32591,4193.517,4
-80.312,4118.14648,4
-80.29101,1178.19678,1
-80.213,1209.61755,1
-80.16019,1085.45886,1
-80.11835,1100.24646,1
-80.08899,1144.992,1
-80.0023346,1110.301,1
-80.00077,1099.95459,1
-79.9811859,1185.39783,1
-79.90085,3907.2085,4
-79.89954,1112.32056,1
-79.89008,4160.74463,4
-79.8416,1124.38708,1
-79.80809,1143.35571,1
-79.78852,1162.41785,1
-79.7744446,4183.18848,4
-79.76152,1093.57861,1
-79.69824,4116.81738,4
-79.67493,3959.99683,4
-79.62287,1108.03345,1
-79.6222153,4110.2627,4
-79.59098,3844.53687,4
-79.54046,1138.91992,1
-79.4628754,4191.01,4
-79.46019,4228.49268,4
-79.45946,1153.2428,1
-79.45396,3949.339,4
-79.4530945,1144.36292,1
-79.43537,1113.991,1
-79.4194641,1098.43677,1
-79.40766,1106.516,1
-79.39349,4071.944,4
-79.33075,3929.34741,4
-79.27085,1124.65393,1
-79.2439,4254.636,4
-79.15851,4094.00781,4
-79.11454,4051.98975,4
-79.10311,1171.08984,1
-79.04219,3935.25562,4
-78.99766,1194.78381,1
-78.9968,1139.025,1
-78.97095,1127.987,1
-78.95086,1166.64917,1
-78.94356,1115.94568,1
-78.92519,3876.018,4
-78.88868,3943.28076,4
-78.87108,4448.636,4
-78.8683548,1207.78125,1
-78.8402,3986.50024,4
-78.83248,1055.70435,1
-78.80753,4070.51416,4
-78.78965,4306.14355,4
-78.73073,1114.04565,1
-78.7066345,1055.1731,1
-78.65091,1153.15991,1
-78.64203,1134.79773,1
-78.56861,1120.96094,1
-78.55256,1089.74255,1
-78.54038,1072.34412,1
-78.53955,1119.03833,1
-78.5126,1268.0741,1
-78.48713,1193.5332,1
-78.47217,1135.93176,1
-78.3534241,1139.90149,1
-78.34023,4028.94556,4
-78.30124,4243.1626,4
-78.2865,1165.99854,1
-78.22256,1126.87244,1
-78.2100449,1084.46912,1
-78.1926041,1174.39465,1
-78.18441,1202.34961,1
-78.17035,1175.6792,1
-78.16306,1167.65332,1
-78.15942,1145.6394,1
-78.13999,1202.62231,1
-78.11163,1076.964,1
-78.08782,4055.42261,4
-78.0595551,4108.326,4
-78.00347,1143.50549,1
-77.98776,1177.3717,1
-77.97916,1173.04956,1
-77.97486,1138.15894,1
-77.95372,1130.31946,1
-77.9183,1142.58044,1
-77.86468,1036.82092,1
-77.76918,1108.054,1
-77.76492,4224.573,4
-77.7524948,1239.80176,1
-77.72574,1132.53479,1
-77.62844,1123.64368,1
-77.60451,1180.89453,1
-77.5946655,1161.16772,1
-77.58953,1091.49487,1
-77.5514145,3919.92261,4
-77.5455856,1174.31677,1
-77.52975,1135.97888,1
-77.51158,3895.09546,4
-77.47641,4147.384,4
-77.45394,1054.912,1
-77.44901,4260.34131,4
-77.44462,4186.256,4
-77.44221,1147.40613,1
-77.42614,1093.51965,1
-77.40579,3832.08716,4
-77.33381,1082.89563,1
-77.32196,4139.786,4
-77.3152542,1187.41382,1
-77.28755,1166.02185,1
-77.2626,4106.62646,4
-77.25769,4111.423,4
-77.2549744,4131.7,4
-77.22277,1109.57983,1
-77.2202454,1176.03857,1
-77.21469,4048.93848,4
-77.14803,1152.95239,1
-77.11951,1127.81763,1
-77.017,3896.27441,4
-76.99536,1188.35913,1
-76.98672,4124.92969,4
-76.90175,1111.52954,1
-76.8779,4160.31934,4
-76.86203,3776.03076,4
-76.8477859,1063.27563,1
-76.80612,3596.009,4
-76.78807,1112.2063,1
-76.78427,1099.67969,1
-76.74877,1216.32507,1
-76.72527,1113.79041,1
-76.69951,4071.00732,4
-76.6785,1160.13245,1
-76.66688,1177.41125,1
-76.64185,1051.69556,1
-76.62712,1070.46643,1
-76.6169052,4079.43164,4
-76.59359,4187.464,4
-76.58993,3970.60083,4
-76.52337,4150.5,4
-76.5162,4053.39868,4
-76.4555359,1120.1853,1
-76.4476,1123.28186,1
-76.42174,1087.87524,1
-76.4076,1117.90576,1
-76.39668,4042.93018,4
-76.3885,3926.15625,4
-76.38372,1065.59021,1
-76.3727646,4303.146,4
-76.34964,4091.8147,4
-76.3493958,1093.06274,1
-76.3201447,4207.13867,4
-76.28991,4128.03955,4
-76.26281,1166.13867,1
-76.2426453,1013.79297,1
-76.2395248,4078.78857,4
-76.21362,1168.87622,1
-76.2062759,4101.367,4
-76.2009048,1185.73657,1
-76.19989,1110.16724,1
-76.18314,4124.062,4
-76.140274,3952.00537,4
-76.1377945,3970.95337,4
-76.1091461,1104.8717,1
-76.09691,1093.27783,1
-76.0735855,1083.42029,1
-76.05597,1192.30432,1
-76.0385,1186.04138,1
-76.0245056,1114.32007,1
-76.0223846,1139.65625,1
-75.9669,1119.45325,1
-75.94486,4093.54883,4
-75.92773,3980.674,4
-75.9125748,1163.6239,1
-75.895195,1193.12134,1
-75.89203,1120.4845,1
-75.86789,4020.91138,4
-75.8658752,4019.66748,4
-75.82753,3993.636,4
-75.8119049,1196.81287,1
-75.80997,4080.37622,4
-75.71213,4181.53955,4
-75.71153,1141.38074,1
-75.70781,4210.80859,4
-75.66891,4273.401,4
-75.6463,1188.4303,1
-75.64608,1202.89807,1
-75.62897,1150.1344,1
-75.62744,4015.54785,4
-75.62075,3777.86621,4
-75.5518646,1112.40723,1
-75.40474,4079.31,4
-75.37829,4195.076,4
-75.36168,1148.68347,1
-75.35859,1060.41284,1
-75.35679,1140.45825,1
-75.3483,4276.54248,4
-75.3386154,1076.26575,1
-75.3302,4055.28,4
-75.32204,1119.35583,1
-75.3218842,1099.69165,1
-75.28998,1105.55212,1
-75.26837,1112.04822,1
-75.2610855,1130.67188,1
-75.2216644,1195.21155,1
-75.20833,4008.58154,4
-75.18353,4166.033,4
-75.18064,4215.219,4
-75.1538544,1149.57153,1
-75.1478348,4170.774,4
-75.12804,4142.96973,4
-75.10354,1130.54407,1
-75.10311,1128.5177,1
-75.0951,1135.56519,1
-75.07651,1137.07,1
-75.05151,4139.05859,4
-75.033844,1177.88342,1
-75.0119858,4058.11475,4
-74.95082,3884.88721,4
-74.93205,1166.249,1
-74.91447,1124.92932,1
-74.897644,1114.49866,1
-74.84628,1173.47742,1
-74.81728,1079.16479,1
-74.80324,1116.12146,1
-74.78453,1162.25342,1
-74.75645,1179.9751,1
-74.75417,1119.69971,1
-74.73712,1122.37744,1
-74.7342148,1177.15417,1
-74.73382,1169.10022,1
-74.72552,1121.203,1
-74.70653,1102.37268,1
-74.6836853,4090.29517,4
-74.59828,1190.1123,1
-74.57784,4199.062,4
-74.56826,4236.63232,4
-74.55598,1147.93152,1
-74.4995041,3986.51,4
-74.4937057,1100.2113,1
-74.47343,4077.38354,4
-74.43765,4251.368,4
-74.4280853,4019.9126,4
-74.38402,1142.251,1
-74.3733444,1135.45068,1
-74.37089,1171.04456,1
-74.3531952,4231.11426,4
-74.26786,1146.609,1
-74.2574158,1131.73132,1
-74.24554,4286.493,4
-74.2056,1157.39075,1
-74.1977539,1043.3031,1
-74.18809,1063.18616,1
-74.18215,4239.41455,4
-74.1714554,4290.86768,4
-74.1573944,1107.80408,1
-74.14692,4259.475,4
-74.14635,1130.15869,1
-74.14119,1102.30078,1
-74.14113,4071.28442,4
-74.13012,1069.79492,1
-74.1288147,1059.65918,1
-74.11634,1078.99548,1
-74.0819244,4005.52856,4
-74.07956,1119.53662,1
-74.04026,1140.41284,1
-74.03466,4120.60352,4
-74.02723,4012.92651,4
-74.01682,4075.838,4
-73.93307,3964.44336,4
-73.902916,4165.62451,4
-73.8964844,3896.5564,4
-73.88011,1124.13367,1
-73.86178,1178.64307,1
-73.86015,4323.18066,4
-73.84522,1098.248,1
-73.83351,1120.71082,1
-73.82118,1169.86792,1
-73.79262,4010.11816,4
-73.77856,1156.54944,1
-73.7576752,4007.65161,4
-73.7556839,1125.70264,1
-73.75242,1077.82593,1
-73.75196,4128.87,4
-73.7406,3935.99829,4
-73.70158,3928.4375,4
-73.68967,1083.30444,1
-73.6719742,1119.31616,1
-73.6203461,4196.74,4
-73.57543,1196.78918,1
-73.52206,1090.67627,1
-73.5166,1174.3761,1
-73.50492,1178.30957,1
-73.4999847,1080.15808,1
-73.48414,1179.83142,1
-73.46417,1086.6355,1
-73.45139,4007.66431,4
-73.4450455,1171.40991,1
-73.43431,1161.23218,1
-73.4119949,1141.92175,1
-73.4090042,1103.10583,1
-73.40114,4249.11,4
