Ch1 Amplitude,Ch2 Amplitude,Cluster
-204.5095,4651.06934,4
-175.905945,4425.001,4
-169.586349,4507.37,4
-157.250946,4401.24854,4
-144.24,4474.07861,4
-143.38913,4452.87842,4
-141.869553,4181.18066,4
-140.808075,4289.69629,4
-137.66127,4300.12842,4
-135.876755,4546.127,4
-135.792648,4254.50537,4
-135.269226,4363.21143,4
-133.536728,4271.51367,4
-132.750473,4080.52515,4
-130.088348,4370.95947,4
-129.1695,4221.122,4
-128.389221,4232.54932,4
-126.222809,4303.94873,4
-125.0509,4125.755,4
-124.32045,4322.04541,4
-123.8322,4258.02441,4
-123.392479,4625.715,4
-123.278923,4433.14941,4
-122.97364,4232.22168,4
-122.908516,4322.01563,4
-122.65387,4371.3584,4
-122.522858,4268.06,4
-122.448761,4305.075,4
-121.576149,4235.19336,4
-120.789581,4352.795,4
-120.209496,4122.66,4
-119.903664,4370.93359,4
-119.58017,4420.72,4
-118.799576,4332.18555,4
-117.265823,4244.21436,4
-117.1981,4214.80859,4
-116.324089,4241.75928,4
-115.917831,4313.79639,4
-115.633316,4446.187,4
-115.098038,4208.31445,4
-114.979256,4327.355,4
-114.506958,4370.594,4
-114.179428,4278.774,4
-113.823212,4418.84131,4
-113.773849,4085.095,4
-113.666771,4471.584,4
-113.286835,4278.11133,4
-113.143311,4672.975,4
-112.4961,4340.52148,4
-110.549339,4497.698,4
-109.904045,4402.81934,4
-109.557335,4338.57764,4
-109.407822,4490.08838,4
-109.299652,4480.708,4
-109.012535,4228.41,4
-107.738655,4184.287,4
-107.658752,4216.207,4
-107.610786,4228.724,4
-106.8229,4403.686,4
-106.701675,4024.3208,4
-106.62429,4433.67334,4
-106.404572,4326.849,4
-106.317978,4121.804,4
-105.836159,4189.721,4
-105.5211,4354.44043,4
-105.436623,4183.127,4
-105.155731,4299.156,4
-104.965164,4234.63,4
-104.964821,4454.25537,4
-104.7014,4356.77051,4
-104.530739,4200.076,4
-104.437317,4385.452,4
-104.399727,1212.14856,1
-104.384117,4177.532,4
-104.316551,4270.44971,4
-104.031662,4109.061,4
-103.973381,1258.36792,1
-103.798676,1194.84631,1
-103.387756,4337.969,4
-103.194328,4236.2915,4
-103.166618,4118.646,4
-103.073441,4327.11475,4
-102.947021,4324.76172,4
-102.421021,4432.73535,4
-102.398911,4446.07275,4
-101.521332,4317.98438,4
-101.189835,4175.43262,4
-101.05056,4087.24634,4
-100.866844,4260.35449,4
-100.603851,1261.18286,1
-100.154953,4150.26855,4
-99.55302,4316.179,4
-99.4363251,4608.2085,4
-99.0280457,4344.2876,4
-98.9162445,4403.382,4
-98.87702,4083.745,4
-98.63888,4285.481,4
-98.6188049,4441.197,4
-98.41272,1165.59326,1
-98.22997,4441.53369,4
-98.1715546,4449.949,4
-97.89585,4118.265,4
-97.80579,4269.821,4
-97.68281,4182.71631,4
-97.61197,4365.866,4
-97.43027,4438.69336,4
-97.2190857,4288.57227,4
-97.1792755,4387.133,4
-96.91103,4431.101,4
-96.87816,1136.2561,1
-96.38299,4257.51074,4
-96.22286,4491.28,4
-96.12973,3420.276,4
-96.0835648,4134.36133,4
-95.92248,4238.099,4
-95.8673248,4173.546,4
-95.70081,4218.61475,4
-95.68762,4211.736,4
-95.63412,4132.12549,4
-95.5994644,4286.48438,4
-95.59567,4251.57471,4
-95.4379654,4188.427,4
-95.41159,4283.46826,4
-95.40652,1151.484,1
-94.95877,4520.047,4
-94.72858,4362.53369,4
-94.69006,4212.90527,4
-94.6569443,4215.362,4
-94.64683,4434.42432,4
-94.2545853,4411.485,4
-94.06559,4083.57886,4
-94.03627,4216.608,4
