Ch1 Amplitude,Ch2 Amplitude,Cluster
467.8321,426.852753,4
545.9574,617.4531,4
571.828735,609.842,4
576.064941,681.6149,4
578.162354,608.2235,4
579.4345,568.8313,4
580.5401,591.2313,4
582.8376,666.3259,4
585.4216,562.960266,4
589.667969,559.40094,4
591.17926,687.8536,4
592.6794,577.4717,4
593.716858,590.636353,4
593.851563,665.0831,4
593.9069,658.7385,4
594.5803,631.496643,4
594.647156,600.5768,4
595.867737,584.4506,4
596.633545,634.036133,4
598.838867,624.964966,4
599.6337,612.253357,4
600.2009,610.3871,4
601.7799,642.2353,4
601.9527,637.8691,4
601.9701,651.5907,4
603.1261,626.990356,4
603.471436,608.0966,4
603.6048,658.1218,4
604.062866,619.6762,4
605.645935,645.839966,4
606.2288,630.916748,4
606.229858,651.1169,4
606.371338,566.9585,4
606.386169,592.5926,4
606.5755,583.490234,4
606.9775,606.7945,4
607.017,585.2416,4
608.2006,604.3176,4
608.2007,606.3988,4
608.802856,595.9304,4
608.900452,566.833,4
609.179749,676.4969,4
609.7523,635.783569,4
610.0996,609.7665,4
610.721069,607.2896,4
610.8784,670.817749,4
611.19165,612.0845,4
611.826843,638.6082,4
612.1419,589.1835,4
612.2315,620.337341,4
612.7092,563.7605,4
612.7174,582.829468,4
612.7458,555.093262,4
612.754944,559.179443,4
613.564636,520.6076,4
613.676636,658.2216,4
614.330444,604.7195,4
615.4762,635.8737,4
616.0948,614.5804,4
616.3163,534.881653,4
616.4832,593.963135,4
616.593567,602.475159,4
616.6607,572.3445,4
616.8802,535.865051,4
616.960754,623.8024,4
617.2208,667.4357,4
617.3245,560.9896,4
617.3722,630.5871,4
617.397644,588.743042,4
617.6498,639.749634,4
617.770142,621.657837,4
617.888733,568.79834,4
618.0141,604.2685,4
618.2783,661.3264,4
618.4249,646.0838,4
618.478943,577.287842,4
618.547546,651.655151,4
618.749939,666.7592,4
619.0157,656.7506,4
619.0935,544.746338,4
619.0947,598.2949,4
619.151733,640.4144,4
619.199158,552.196,4
619.3955,630.9372,4
619.3963,617.2182,4
619.475464,625.8546,4
619.6933,704.959839,4
619.831543,646.684143,4
620.049866,606.216553,4
620.179443,541.7849,4
620.2824,552.279053,4
620.3278,647.2946,4
620.6755,654.589539,4
621.0122,595.752563,4
621.085449,594.3294,4
621.2477,641.6346,4
621.270752,636.6984,4
621.3656,610.1114,4
621.422546,601.671448,4
621.6584,567.507568,4
621.6904,642.597046,4
621.8767,621.209656,4
621.987,535.3134,4
622.0719,591.957764,4
622.1203,590.744446,4
622.1211,579.268738,4
622.145142,632.1119,4
622.204651,629.4755,4
622.491943,619.7319,4
622.6865,623.5847,4
