Ch1 Amplitude,Ch2 Amplitude,Cluster
576.993835,612.806763,4
578.4213,506.3594,4
603.644836,637.3216,4
606.2302,631.335632,4
609.798767,587.4355,4
609.9431,679.712,4
611.1508,584.611267,4
611.4947,639.080139,4
613.0735,653.5883,4
613.5876,631.1435,4
614.0097,665.1772,4
615.0527,632.122,4
615.151367,700.064636,4
615.332,652.485352,4
616.5287,646.531738,4
618.3371,627.300232,4
620.471863,670.002869,4
621.3342,661.458435,4
622.4705,661.512,4
623.082642,661.9972,4
623.9769,608.300049,4
624.9131,625.606,4
625.0031,670.401245,4
625.2207,646.419861,4
625.3911,701.7771,4
626.6162,715.1981,4
627.0343,656.3544,4
628.0307,749.9724,4
628.18396,655.3038,4
628.489136,686.1966,4
628.5411,674.2966,4
628.9211,622.8559,4
631.2663,667.2028,4
631.289856,641.3903,4
631.4855,647.3034,4
631.5722,637.4737,4
632.083557,661.883057,4
632.113464,655.9001,4
632.1649,706.8264,4
632.8656,627.1049,4
633.3741,598.094849,4
633.540466,642.0556,4
633.979431,660.3429,4
634.132141,657.7422,4
634.341064,592.4663,4
634.537659,655.671,4
634.65094,653.476257,4
634.822937,603.675659,4
634.832764,610.1141,4
635.4518,702.770752,4
635.667847,577.9406,4
635.7095,698.8616,4
635.7979,668.485168,4
636.1597,671.326233,4
636.365,671.000854,4
636.4228,650.0846,4
636.5735,632.736755,4
636.6277,656.8606,4
636.822266,629.9805,4
636.8225,676.0959,4
637.237549,676.112366,4
637.2658,573.406738,4
637.2797,617.385437,4
637.5763,634.468933,4
638.1378,648.8704,4
638.1396,708.835266,4
638.1965,593.0082,4
638.413269,682.187561,4
638.471741,627.6691,4
638.4936,592.940063,4
638.647,618.471252,4
638.8638,685.188354,4
638.9526,641.4737,4
639.018555,631.248535,4
639.1566,569.0354,4
639.4316,685.4859,4
639.4516,608.6856,4
639.8533,611.7903,4
639.881653,602.1609,4
639.9093,670.3301,4
639.9785,593.09436,4
640.2833,680.2062,4
640.3677,689.508667,4
640.4283,692.820068,4
640.5296,664.3561,4
640.934753,632.675964,4
641.1866,682.3093,4
641.4559,613.8313,4
641.685059,596.2888,4
641.9429,630.967346,4
642.0192,683.0148,4
642.3042,622.355652,4
642.4862,572.688,4
642.486633,640.8001,4
642.69104,642.2382,4
642.769165,638.132263,4
642.8354,575.54364,4
642.837463,677.2423,4
642.8727,658.4416,4
642.946167,652.092468,4
643.018433,643.062561,4
643.202148,604.8721,4
643.41925,650.702148,4
643.4861,600.5998,4
643.5599,677.624939,4
643.7705,713.140442,4
643.777039,683.7852,4
643.784058,670.8252,4
643.825439,624.1098,4
644.010559,647.774231,4
644.164,673.855957,4
644.2364,611.106,4
644.482056,638.5083,4
644.5752,597.4947,4
644.8332,618.5246,4
644.853333,605.4987,4
644.9754,648.498352,4
645.2318,622.1767,4
645.4231,631.1419,4
645.5229,612.507,4
645.5994,681.8333,4
645.6529,667.5774,4
645.7698,618.155151,4
645.916,617.648865,4
646.056641,622.722961,4
646.1353,715.9784,4
646.1378,624.1311,4
646.1458,647.371765,4
646.259033,699.0275,4
646.272034,643.166748,4
646.3104,600.2523,4
646.5032,638.304932,4
646.6006,637.6683,4
646.6917,663.3374,4
646.702,618.739868,4
646.784058,662.1734,4
647.1184,598.9905,4
647.2483,704.508667,4
647.365967,613.4197,4
647.4473,650.768,4
647.483032,637.63324,4
647.5219,672.1577,4
647.651245,686.8092,4
647.8403,639.8795,4
647.896545,653.953552,4
647.9195,583.8739,4
647.9631,610.414,4
647.9811,678.2223,4
648.07135,683.3815,4
648.165466,652.318054,4
648.274963,696.081848,4
648.2814,677.227234,4
648.2908,648.1821,4
648.3292,548.227051,4
648.332642,662.016235,4
648.3752,630.4088,4
648.420532,708.661,4
648.501953,680.659,4
648.841736,668.086548,4
648.944031,675.135864,4
649.165039,645.038147,4
649.182739,621.785645,4
649.1844,592.6591,4
649.223938,668.009338,4
649.347046,559.4579,4
649.3816,685.790955,4
649.570862,643.0841,4
649.6564,673.1733,4
649.657837,608.352539,4
649.7671,688.4733,4
649.985,593.8047,4
650.038635,582.7441,4
650.2453,637.3073,4
650.2565,657.2253,4
650.2924,622.9972,4
650.3288,601.05896,4
650.374,599.689758,4
650.401,662.4212,4
650.447632,654.923767,4
650.484253,644.2343,4
650.630859,665.507751,4
650.6338,638.347656,4
650.6567,679.7639,4
650.7233,626.5131,4
650.8849,637.33136,4
650.8952,598.874268,4
650.9947,638.9611,4
651.0306,648.310242,4
651.3231,669.6466,4
651.6564,674.1446,4
651.693,636.1021,4
651.910461,639.14325,4
651.9631,705.3364,4
652.0117,648.107849,4
652.0289,608.3233,4
652.083252,611.071655,4
652.092,660.024231,4
652.1472,641.6259,4
652.288147,692.0456,4
652.323853,610.963,4
652.3613,659.7899,4
652.3739,702.41626,4
652.381531,587.4983,4
652.5264,671.811035,4
652.5449,626.6085,4
652.563,673.9398,4
652.7428,659.821533,4
652.772644,637.0894,4
652.7911,573.745056,4
652.7973,620.5655,4
652.8171,570.3002,4
652.872253,604.248,4
652.952,669.5497,4
653.00116,582.8653,4
653.015869,633.1383,4
653.1542,634.714844,4
653.22644,613.1101,4
653.2949,612.8824,4
653.373352,592.013367,4
653.394531,653.365845,4
653.4176,634.570862,4
653.512268,679.2043,4
653.5475,643.194458,4
653.559265,639.7742,4
653.6347,625.741333,4
653.64,637.077148,4
653.6811,613.243652,4
653.794067,670.2698,4
653.8057,626.836731,4
653.930054,628.2131,4
653.966736,715.326233,4
653.9941,559.545654,4
654.1886,616.5891,4
654.2911,582.3075,4
654.321838,674.506531,4
654.3917,659.0775,4
654.399963,702.371,4
654.452,648.6421,4
654.4765,607.8428,4
654.4771,638.8545,4
654.508057,647.0748,4
654.5756,621.824341,4
654.667664,645.3263,4
654.726,614.0504,4
654.7437,562.516968,4
654.782349,595.9551,4
654.8416,663.242859,4
654.850342,676.6936,4
654.862732,544.5132,4
654.8692,699.613647,4
654.888,651.0596,4
654.9181,664.088135,4
654.9427,590.432068,4
654.9562,648.3768,4
654.9904,671.0889,4
655.0537,654.861,4
655.103333,600.425049,4
655.1769,589.696167,4
655.279358,704.937134,4
655.2852,570.912048,4
655.3408,677.1568,4
655.398132,709.270569,4
655.412964,623.5227,4
655.4579,678.7579,4
655.5242,650.6461,4
