Ch1 Amplitude,Ch2 Amplitude,Cluster
-92.44489,984.0584,1
-91.9161453,985.915344,1
-91.45336,1011.23944,1
-91.1722641,967.5903,1
-90.8287354,929.324158,1
-90.2919159,1063.38293,1
-89.64459,965.1339,1
-89.4316,1010.00775,1
-89.18416,1081.169,1
-88.9244461,961.123047,1
-88.4814148,1006.92133,1
-88.1109,1051.11035,1
-87.73327,986.4406,1
-87.54767,961.980469,1
-86.99432,983.5188,1
-86.9397049,1002.56561,1
-86.82742,962.176,1
-86.71092,1019.45862,1
-86.09787,899.8314,1
-85.1302948,939.4372,1
-84.7120056,958.156067,1
-84.64849,985.920166,1
-84.55546,1003.74872,1
-84.32012,959.4707,1
-84.28324,986.3511,1
-84.03806,945.019653,1
-83.31216,1021.56183,1
-82.8828,912.4676,1
-82.86502,927.3619,1
-82.46599,988.382141,1
-82.40781,1017.89191,1
-82.36215,938.1264,1
-81.8911362,1013.58759,1
-81.8412552,958.7993,1
-81.72855,1037.80176,1
-81.72434,1028.142,1
-81.63368,962.9972,1
-81.55873,998.1841,1
-81.54565,1000.11676,1
-81.41315,968.82196,1
-81.39703,1006.01013,1
-80.82734,969.0126,1
-80.46629,927.8083,1
-80.1411,972.4252,1
-80.1029053,976.6685,1
-79.93479,1025.60449,1
-79.90493,965.3936,1
-79.58313,1025.32507,1
-79.5630951,991.9927,1
-79.5511,1029.52051,1
-79.48146,923.194,1
-79.35976,1042.17114,1
-79.2636642,997.007263,1
-79.1068649,1014.10248,1
-79.041214,1036.69409,1
-78.88777,1046.93457,1
-78.8423538,1022.54254,1
-78.73709,1022.94812,1
-78.73077,962.498657,1
-78.71998,1008.43726,1
-78.48124,944.794434,1
-78.42461,1050.46545,1
-78.32472,1020.76892,1
-78.19822,1059.68359,1
-77.98734,1020.069,1
-77.97482,910.1724,1
-77.94088,1023.31848,1
-77.84097,997.8873,1
-77.83754,1043.29626,1
-77.7197647,1063.80286,1
-77.6568,990.6017,1
-77.62789,992.731445,1
-77.5058,1051.34924,1
-77.4673157,969.7204,1
-77.38217,1069.8562,1
-77.27207,1007.89355,1
-77.1601944,857.916,1
-77.0658951,983.074768,1
-76.90671,933.199463,1
-76.88028,941.39,1
-76.86931,994.6871,1
-76.78737,966.1096,1
-76.71671,1017.87195,1
-76.68198,1021.6601,1
-76.5200043,990.402649,1
-76.4337,1022.70154,1
-76.3826447,864.898,1
-76.28155,997.902466,1
-76.2747,1025.94238,1
-76.25027,972.9391,1
-76.1971054,980.673157,1
-76.13041,1013.32172,1
-76.08201,1045.67065,1
-76.01124,998.340332,1
-75.9343643,950.175354,1
-75.8400345,1027.42749,1
-75.7770157,962.513733,1
-75.75817,972.8941,1
-75.66848,995.5946,1
-75.6438141,1043.86365,1
-75.63948,906.449951,1
-75.476326,999.936768,1
-75.47091,1044.74561,1
-75.33292,1050.02869,1
-75.30634,943.015564,1
-75.2197342,918.6262,1
-75.2129059,968.7718,1
-75.08035,959.7327,1
-74.9834061,992.854065,1
-74.96464,971.0713,1
-74.93796,894.3551,1
-74.80347,965.9753,1
-74.79713,917.9153,1
-74.7874146,954.6499,1
-74.72966,1031.03979,1
-74.72121,1031.799,1
-74.65797,1019.29224,1
-74.56011,967.111755,1
-74.48495,1003.0896,1
-74.47795,924.4063,1
-74.4466,971.9984,1
-74.40415,1002.46777,1
-74.23957,999.0967,1
-74.21154,882.7841,1
-74.19617,1023.0863,1
-74.17735,1004.16687,1
-74.1553345,982.1548,1
-74.0488,872.850647,1
-73.9537659,1050.48218,1
-73.888,977.409058,1
-73.86928,873.3423,1
-73.8649445,1019.90723,1
-73.82666,1014.76312,1
-73.715,987.6581,1
-73.6303558,962.2497,1
-73.60201,976.6089,1
-73.50736,946.0451,1
-73.47507,980.2184,1
-73.4357147,924.3046,1
-73.4227,908.6414,1
-73.40539,960.2455,1
-73.31345,947.3782,1
-73.19868,954.885254,1
-73.05882,1026.28271,1
-73.02197,965.5846,1
-72.98074,1012.77747,1
-72.91246,993.407959,1
-72.9111252,978.700867,1
-72.8970947,965.529846,1
-72.8964539,1023.82281,1
-72.88781,1035.7063,1
-72.75398,1089.27686,1
-72.74107,992.544861,1
-72.65027,1040.856,1
-72.51963,974.1949,1
-72.48434,931.12085,1
-72.36668,946.6494,1
-72.3557739,944.5267,1
-72.3281,946.6327,1
-72.23865,980.591064,1
-72.23014,953.84375,1
-72.1497345,989.3129,1
-72.1164856,993.7513,1
-72.0527344,992.835938,1
-71.97513,957.6506,1
-71.9353943,997.1802,1
-71.9301758,952.9355,1
-71.85929,1015.44604,1
-71.8478241,991.00354,1
-71.7445145,968.0098,1
-71.7156,1017.94806,1
-71.70118,964.3241,1
-71.69068,984.768,1
-71.6804,996.821655,1
-71.5870056,1029.4729,1
-71.58514,930.5235,1
-71.57353,1005.11725,1
-71.5527344,1012.73035,1
-71.42967,1029.36108,1
-71.42733,924.429565,1
-71.4040146,1013.60986,1
-71.40211,982.1466,1
-71.33435,952.303833,1
-71.2570953,1046.91748,1
-71.23306,935.384,1
-71.12583,1038.436,1
-71.06251,1012.09912,1
-71.0413361,984.475464,1
-70.9799957,1039.85364,1
-70.97467,1030.836,1
-70.91953,999.067932,1
-70.8662949,1070.39429,1
-70.8074646,903.9344,1
-70.7388458,988.7949,1
-70.737114,907.027344,1
-70.68567,906.558655,1
-70.641655,1026.268,1
-70.5895538,985.062,1
-70.55608,999.7229,1
-70.4939957,985.5539,1
-70.459465,894.8257,1
-70.45108,964.712769,1
-70.4149857,965.4044,1
-70.3838959,1050.31763,1
-70.3059,886.4709,1
-70.2775,841.904,1
-70.27531,943.368469,1
-70.24858,905.0092,1
-70.18078,907.982544,1
-70.12266,991.723938,1
-70.0793,952.8461,1
-70.0479,996.0781,1
-69.96196,1004.31061,1
-69.92791,1013.25916,1
-69.89898,1041.87793,1
-69.87685,916.799744,1
-69.79565,933.726868,1
-69.78918,1006.17517,1
-69.7502,1036.00793,1
-69.74896,902.662537,1
-69.7359,950.894653,1
-69.7309,959.153,1
-69.71651,948.370361,1
-69.6812057,979.5326,1
-69.6368256,957.9446,1
-69.60348,924.267151,1
-69.6004639,1028.76819,1
-69.58614,1004.75269,1
-69.58016,851.559937,1
-69.5452652,915.046448,1
-69.48446,957.152039,1
-69.45653,913.414551,1
-69.43308,1011.37518,1
-69.40555,1022.90686,1
-69.30628,919.3532,1
-69.23344,920.37616,1
-69.20601,990.8898,1
-69.19273,1017.0434,1
-69.18949,1038.26807,1
-69.18519,923.317566,1
-69.17367,933.4423,1
-69.16061,912.0829,1
-69.13743,1014.72583,1
-69.1018448,984.5024,1
-69.09877,1002.31543,1
-69.05457,1004.17596,1
-69.00745,916.386658,1
-68.9878159,985.7014,1
-68.9497452,1014.78491,1
-68.88135,996.6434,1
-68.8181839,936.980042,1
-68.81655,1001.07269,1
-68.7913055,964.4943,1
-68.76472,908.3416,1
-68.7437744,1008.8689,1
-68.74073,983.4075,1
-68.7176056,1008.39093,1
-68.6795654,1056.32056,1
-68.6537,935.2233,1
-68.5984039,1085.9624,1
-68.55734,979.663269,1
-68.47776,941.8685,1
-68.4129,920.317139,1
-68.38019,967.61676,1
-68.37978,996.4082,1
-68.37398,979.438232,1
-68.34706,1018.45544,1
-68.34269,1097.5719,1
-68.3256149,949.32074,1
-68.3215256,1031.94373,1
-68.2907,961.908752,1
-68.28066,901.2373,1
-68.2751541,926.1089,1
-68.20331,996.687439,1
-68.2011261,996.6874,1
-68.16732,844.7945,1
-68.13981,1049.45459,1
-68.10877,978.377441,1
-68.0962143,950.511963,1
-68.07715,937.9793,1
-68.07595,950.911743,1
-67.945,977.154053,1
-67.9379959,956.009949,1
-67.92664,966.6101,1
-67.9114456,949.4365,1
